year,geo,avg_weekly_wage,median_weekly_wage
2017,Nova Scotia,874.76,760.0
2017,Ontario,992.85,864.0
2017,Prince Edward Island,830.5,760.0
2017,Quebec,903.88,800.0
2017,Saskatchewan,1016.8,923.2
2018,Alberta,1182.19,1022.77
2018,British Columbia,999.6,880.0
2018,Canada,1007.33,875.0
2018,Manitoba,912.86,800.0
2018,New Brunswick,878.64,770.0
2018,Newfoundland and Labrador,1016.26,875.0
2018,Nova Scotia,890.31,774.9
2018,Ontario,1030.78,880.0
2018,Prince Edward Island,839.51,765.0
2018,Quebec,919.93,806.0
2018,Saskatchewan,1039.02,926.8
2019,Alberta,1202.95,1040.0
2019,British Columbia,1020.1,911.25
2019,Canada,1033.57,902.0
2019,Manitoba,936.2,807.6
2019,New Brunswick,894.06,799.92
2019,Newfoundland and Labrador,1027.27,882.0
2019,Nova Scotia,891.28,783.75
2019,Ontario,1059.89,923.0
2019,Prince Edward Island,859.33,782.8
2019,Quebec,953.93,850.0
2019,Saskatchewan,1044.65,932.0
2020,Alberta,1262.15,1120.0
2020,British Columbia,1092.88,975.0
2020,Canada,1101.12,961.6
2020,Manitoba,979.06,865.2
2020,New Brunswick,935.87,825.0
2020,Newfoundland and Labrador,1071.77,937.5
2020,Nova Scotia,950.88,840.0
2020,Ontario,1138.0,1000.0
2020,Prince Edward Island,910.86,840.0
2020,Quebec,1017.92,922.95
2020,Saskatchewan,1106.87,1000.0
2021,Alberta,1246.09,1100.0
2021,British Columbia,1138.63,1000.0
2021,Canada,1123.94,998.75
2021,Manitoba,998.05,880.0
2021,New Brunswick,955.25,865.2
2021,Newfoundland and Labrador,1098.63,951.3
2021,Nova Scotia,960.85,850.88
2021,Ontario,1164.85,1012.13
2021,Prince Edward Island,945.77,852.0
2021,Quebec,1043.59,945.0
2021,Saskatchewan,1106.53,1000.0
2022,Alberta,1267.97,1119.2
2022,British Columbia,1194.34,1040.0
2022,Canada,1175.84,1026.0
2022,Manitoba,1029.93,901.6
2022,New Brunswick,1032.77,920.0
2022,Newfoundland and Labrador,1146.26,1000.0
2022,Nova Scotia,1017.19,896.0
2022,Ontario,1218.08,1057.6
2022,Prince Edward Island,1004.73,900.0
2022,Quebec,1107.01,1000.0
2022,Saskatchewan,1139.77,1016.0
2023,Alberta,1323.61,1153.9
2023,British Columbia,1270.38,1120.0
2023,Canada,1233.4,1080.0
2023,Manitoba,1082.38,961.59
2023,New Brunswick,1077.4,961.6
