geography,year,area_burned_ha
Northwest Territories,1988,66078.12
Northwest Territories,1989,577615.51
Northwest Territories,1990,104617.4
Northwest Territories,1991,225466.42
Northwest Territories,1992,36949.45
Northwest Territories,1993,864285.83
Northwest Territories,1994,3027314.59
Northwest Territories,1995,2843366.44
Northwest Territories,1996,371544.72
Northwest Territories,1997,126531.27
Northwest Territories,1998,1458960.46
Northwest Territories,1999,561034.64
Northwest Territories,2000,177835.79
Northwest Territories,2001,111261.72
Northwest Territories,2002,27089.17
Northwest Territories,2003,127821.4
Northwest Territories,2004,515621.01
Northwest Territories,2005,218132.63
Northwest Territories,2006,53397.03
Northwest Territories,2007,445129.39
Northwest Territories,2008,308788.79
Northwest Territories,2009,2056.85
Northwest Territories,2010,350927.04
Northwest Territories,2011,329580.8249
Northwest Territories,2012,299756.36
Northwest Territories,2013,537872.71
Northwest Territories,2014,3418290.42
Northwest Territories,2015,646987.56
Northwest Territories,2016,254999.43
Northwest Territories,2017,1030258.81
Northwest Territories,2018,13243.15
Northwest Territories,2019,105167.17
Northwest Territories,2020,21139.03
Northwest Territories,2021,155491.15
Northwest Territories,2022,586216.232
Northwest Territories,2023,4164806.9048
Northwest Territories,2024,1672980.524365
Northwest Territories,2025,1109027.187946
Nova Scotia,1960,5683.0
Nova Scotia,1961,1233.0
Nova Scotia,1963,215.0
Nova Scotia,1980,551.0
Nova Scotia,1987,1096.98
Nova Scotia,1988,351.7
Nova Scotia,1989,460.97
Nova Scotia,1990,1068.16
Nova Scotia,1991,1775.75
Nova Scotia,1992,1159.61
Nova Scotia,1993,367.91
Nova Scotia,1994,242.44
Nova Scotia,1995,404.51
Nova Scotia,1996,639.22
Nova Scotia,1997,565.16
Nova Scotia,1998,396.73
Nova Scotia,1999,1823.44
Nova Scotia,2000,488.17
Nova Scotia,2001,528.81
Nova Scotia,2002,211.25
Nova Scotia,2003,1256.76
Nova Scotia,2004,289.83
Nova Scotia,2005,495.0
Nova Scotia,2006,1572.0
Nova Scotia,2007,689.0
Nova Scotia,2008,2700.0
Nova Scotia,2009,883.0
Nova Scotia,2010,435.74
Nova Scotia,2011,150.27
Nova Scotia,2012,361.81
Nova Scotia,2013,301.347
Nova Scotia,2014,564.4607
Nova Scotia,2015,516.7499
Nova Scotia,2016,802.724
Nova Scotia,2017,572.77
Nova Scotia,2018,195.41
Nova Scotia,2019,136.77
Nova Scotia,2020,695.694223
Nova Scotia,2021,197.142001
Nova Scotia,2022,3383.703
Nova Scotia,2023,25093.26925
Nova Scotia,2024,49.41
Nova Scotia,2025,8848.030402
Ontario,1959,239.0
Ontario,1960,11032.0
Ontario,1961,469978.0
Ontario,1962,9020.0
Ontario,1963,17502.0
Ontario,1964,7498.0
Ontario,1965,5301.0
Ontario,1966,3369.0
Ontario,1967,21897.0
Ontario,1968,304.0
Ontario,1969,1142.0
Ontario,1970,19635.0
Ontario,1971,38273.0
Ontario,1972,33638.0
Ontario,1973,1842.0
Ontario,1974,520791.0
Ontario,1975,10036.0
Ontario,1976,544176.401828
Ontario,1977,416341.298512
Ontario,1978,7541.500025
Ontario,1979,63944.299788
Ontario,1980,560329.300011
Ontario,1981,179499.001517
Ontario,1982,3915.600016
Ontario,1983,443703.198109
Ontario,1984,120442.803421
Ontario,1985,1006.600006
Ontario,1986,145561.100005
Ontario,1987,75581.600031
Ontario,1988,390705.700011
Ontario,1989,403885.900057
Ontario,1990,183693.400005
Ontario,1991,318811.100006
Ontario,1992,175994.400003
Ontario,1993,104705.300005
Ontario,1994,128985.09999
Ontario,1995,718530.599221
Ontario,1996,510894.800037
Ontario,1997,40610.599943
Ontario,1998,240547.400017
Ontario,1999,388568.800002
Ontario,2000,9268.900004
Ontario,2001,16700.90003
Ontario,2002,182219.700151
Ontario,2003,319212.000013
Ontario,2004,1817.6
Ontario,2005,42512.400011
Ontario,2006,149675.600807
Ontario,2007,40677.500199
Ontario,2008,1316.400002
Ontario,2009,20860.600001
Ontario,2010,16067.199953
Ontario,2011,635794.699599
