date,personnel_type,count
2009-01-31,Police,112.0
2009-01-31,Troops,25.0
2009-02-28,Experts and staff officers,40.0
2009-02-28,Police,107.0
2009-02-28,Troops,24.0
2009-03-31,Experts and staff officers,41.0
2009-03-31,Police,127.0
2009-03-31,Troops,24.0
2009-04-30,Experts and staff officers,40.0
2009-04-30,Police,119.0
2009-04-30,Troops,25.0
2009-05-31,Experts and staff officers,40.0
2009-05-31,Police,121.0
2009-05-31,Troops,22.0
2009-06-30,Experts and staff officers,40.0
2009-06-30,Police,121.0
2009-06-30,Troops,15.0
2009-07-31,Experts and staff officers,39.0
2009-07-31,Police,127.0
2009-07-31,Troops,16.0
2009-08-31,Experts and staff officers,37.0
2009-08-31,Police,124.0
2009-08-31,Troops,16.0
2009-09-30,Experts and staff officers,39.0
2009-09-30,Police,123.0
2009-09-30,Troops,16.0
2009-10-31,Experts and staff officers,39.0
2009-10-31,Police,124.0
2009-10-31,Troops,16.0
2009-11-30,Experts and staff officers,39.0
2009-11-30,Police,240.0
2009-11-30,Troops,17.0
2009-12-31,Experts and staff officers,39.0
2009-12-31,Police,230.0
2009-12-31,Troops,16.0
2010-01-31,Experts and staff officers,39.0
2010-01-31,Police,86.0
2010-01-31,Troops,17.0
2010-02-28,Experts and staff officers,38.0
2010-02-28,Police,106.0
2010-02-28,Troops,16.0
2010-03-31,Experts and staff officers,36.0
2010-03-31,Police,106.0
2010-03-31,Troops,26.0
2010-04-30,Experts and staff officers,37.0
2010-04-30,Police,99.0
2010-04-30,Troops,24.0
2010-05-31,Experts and staff officers,35.0
2010-05-31,Police,126.0
2010-05-31,Troops,25.0
2010-06-30,Experts and staff officers,37.0
2010-06-30,Police,152.0
2010-06-30,Troops,26.0
2010-07-31,Experts and staff officers,37.0
2010-07-31,Police,125.0
2010-07-31,Troops,24.0
2010-08-31,Experts and staff officers,40.0
2010-08-31,Police,157.0
2010-08-31,Troops,24.0
2010-09-30,Experts and staff officers,38.0
2010-09-30,Police,139.0
2010-09-30,Troops,23.0
2010-10-31,Experts and staff officers,37.0
2010-10-31,Police,141.0
2010-10-31,Troops,22.0
2010-11-30,Experts and staff officers,37.0
2010-11-30,Police,139.0
2010-11-30,Troops,21.0
2010-12-31,Experts and staff officers,35.0
2010-12-31,Police,142.0
2010-12-31,Troops,21.0
2011-01-31,Experts and staff officers,39.0
2011-01-31,Police,161.0
2011-01-31,Troops,24.0
2011-02-28,Experts and staff officers,40.0
2011-02-28,Police,158.0
2011-02-28,Troops,22.0
2011-03-31,Experts and staff officers,39.0
2011-03-31,Police,159.0
2011-03-31,Troops,23.0
2011-04-30,Experts and staff officers,38.0
2011-04-30,Police,155.0
2011-04-30,Troops,20.0
2011-05-31,Experts and staff officers,38.0
2011-05-31,Police,154.0
2011-05-31,Troops,21.0
2011-06-30,Experts and staff officers,36.0
2011-06-30,Police,153.0
2011-06-30,Troops,21.0
2011-07-31,Experts and staff officers,16.0
2011-07-31,Police,142.0
2011-07-31,Troops,14.0
2011-08-31,Experts and staff officers,24.0
2011-08-31,Police,150.0
2011-08-31,Troops,17.0
2011-09-30,Experts and staff officers,20.0
2011-09-30,Police,155.0
2011-09-30,Troops,22.0
2011-10-31,Experts and staff officers,19.0
2011-10-31,Police,163.0
2011-10-31,Troops,16.0
2011-11-30,Experts and staff officers,17.0
2011-11-30,Police,156.0
2011-11-30,Troops,15.0
2011-12-31,Experts and staff officers,21.0
2011-12-31,Police,152.0
2011-12-31,Troops,17.0
2012-01-31,Experts and staff officers,21.0
2012-01-31,Police,160.0
2012-01-31,Troops,18.0
2012-02-29,Experts and staff officers,20.0
2012-02-29,Police,157.0
2012-02-29,Troops,18.0
2012-03-31,Experts and staff officers,21.0
2012-03-31,Police,130.0
2012-03-31,Troops,17.0
2012-04-30,Experts and staff officers,19.0
2012-04-30,Police,130.0
2012-04-30,Troops,14.0
2012-05-31,Experts and staff officers,24.0
2012-05-31,Police,119.0
2012-05-31,Troops,15.0
2012-06-30,Experts and staff officers,21.0
2012-06-30,Police,118.0
2012-06-30,Troops,14.0
2012-07-31,Experts and staff officers,22.0
2012-07-31,Police,116.0
2012-07-31,Troops,15.0
2012-08-31,Experts and staff officers,22.0
2012-08-31,Police,116.0
2012-08-31,Troops,14.0
2012-09-30,Experts and staff officers,21.0
2012-09-30,Police,116.0
2012-09-30,Troops,11.0
2012-10-31,Experts and staff officers,19.0
2012-10-31,Police,119.0
2012-10-31,Troops,11.0
2012-11-30,Experts and staff officers,19.0
2012-11-30,Police,119.0
2012-11-30,Troops,11.0
2012-12-31,Experts and staff officers,20.0
2012-12-31,Police,119.0
2012-12-31,Troops,11.0
2013-01-31,Experts and staff officers,20.0
2013-01-31,Police,99.0
2013-01-31,Troops,11.0
2013-02-28,Experts and staff officers,12.0
2013-02-28,Police,100.0
2013-02-28,Troops,20.0
2013-03-31,Experts and staff officers,12.0
2013-03-31,Police,100.0
2013-03-31,Troops,20.0
2013-04-30,Experts and staff officers,12.0
2013-04-30,Police,99.0
2013-04-30,Troops,19.0
2013-05-31,Experts and staff officers,12.0
2013-05-31,Police,92.0
2013-05-31,Troops,19.0
2013-06-30,Experts and staff officers,12.0
2013-06-30,Police,92.0
2013-06-30,Troops,56.0
2013-07-31,Experts and staff officers,12.0
2013-07-31,Police,92.0
2013-07-31,Troops,53.0
2013-08-31,Experts and staff officers,12.0
2013-08-31,Police,93.0
2013-08-31,Troops,53.0
2013-09-30,Experts and staff officers,13.0
2013-09-30,Police,91.0
2013-09-30,Troops,53.0
2013-10-31,Experts and staff officers,17.0
2013-10-31,Police,82.0
2013-10-31,Troops,54.0
2013-11-30,Experts and staff officers,13.0
2013-11-30,Police,82.0
2013-11-30,Troops,21.0
2013-12-31,Experts and staff officers,13.0
2013-12-31,Police,82.0
2013-12-31,Troops,20.0
2014-01-31,Experts and staff officers,13.0
2014-01-31,Police,81.0
2014-01-31,Troops,21.0
2014-02-28,Experts and staff officers,13.0
2014-02-28,Police,88.0
2014-02-28,Troops,21.0
2014-03-31,Experts and staff officers,13.0
2014-03-31,Police,87.0
2014-03-31,Troops,22.0
2014-04-30,Experts and staff officers,13.0
2014-04-30,Police,86.0
2014-04-30,Troops,21.0
2014-05-31,Experts and staff officers,13.0
2014-05-31,Police,84.0
2014-05-31,Troops,23.0
2014-06-30,Experts and staff officers,13.0
2014-06-30,Police,84.0
