country_code,country_name,year,defence_pct_gdp
DNK,Denmark,2012,1.353293140518255
DNK,Denmark,2013,1.223524903971636
DNK,Denmark,2014,1.1497978040996004
DNK,Denmark,2015,1.1148130262441875
DNK,Denmark,2016,1.151071465642381
DNK,Denmark,2017,1.1399854112558043
DNK,Denmark,2018,1.283104892940236
DNK,Denmark,2019,1.29920660644454
DNK,Denmark,2020,1.373768853149729
DNK,Denmark,2021,1.2987707220301181
DNK,Denmark,2022,1.367796273518699
DNK,Denmark,2023,2.01224571246448
DNK,Denmark,2024,2.268629043590271
DNK,Denmark,2025,3.252852051205041
FIN,Finland,1958,1.7079654550212806
FIN,Finland,1959,1.8749287400394412
FIN,Finland,1960,1.7690410476246403
FIN,Finland,1961,1.8361815196588007
FIN,Finland,1962,2.513178308640071
FIN,Finland,1963,1.9271417869505765
FIN,Finland,1964,1.8592730316520862
FIN,Finland,1965,1.7973403827776835
FIN,Finland,1966,1.7139513137863747
FIN,Finland,1967,1.6155211526961737
FIN,Finland,1968,1.7550744002529957
FIN,Finland,1969,1.4374776980629589
FIN,Finland,1970,1.3758540167930626
FIN,Finland,1971,1.4490468749275476
FIN,Finland,1972,1.5308455436489792
FIN,Finland,1973,1.4537020400829754
FIN,Finland,1974,1.2701786674788897
FIN,Finland,1975,1.5081598199212156
FIN,Finland,1976,1.3401246167540304
FIN,Finland,1977,1.405352011494253
FIN,Finland,1978,1.4294441050702504
FIN,Finland,1979,1.4790093096785526
FIN,Finland,1980,1.6709354799365777
FIN,Finland,1981,1.5455867305724595
FIN,Finland,1982,1.6437501499772034
FIN,Finland,1983,1.8232638142334983
FIN,Finland,1984,1.6040418011372368
FIN,Finland,1985,1.676579072763532
FIN,Finland,1986,1.7239099533899707
FIN,Finland,1987,1.645533009605285
FIN,Finland,1988,1.6076911731184382
FIN,Finland,1989,1.5343144923524952
FIN,Finland,1990,1.563351498637602
FIN,Finland,1991,1.7812310364932238
FIN,Finland,1992,1.9071310116086235
FIN,Finland,1993,1.8680115065657235
FIN,Finland,1994,1.755603595403345
FIN,Finland,1995,1.4225414992491578
FIN,Finland,1996,1.530472271213012
FIN,Finland,1997,1.5351550506601168
FIN,Finland,1998,1.4631755578076455
FIN,Finland,1999,1.2231037715780433
FIN,Finland,2000,1.2400099716979749
FIN,Finland,2001,1.143119913147504
FIN,Finland,2002,1.153462678523309
FIN,Finland,2003,1.4454744350718145
FIN,Finland,2004,1.4677185555270635
FIN,Finland,2005,1.4647045110485102
FIN,Finland,2006,1.442702256782654
FIN,Finland,2007,1.2876099847886406
FIN,Finland,2008,1.3910253297168844
FIN,Finland,2009,1.5608454120772302
FIN,Finland,2010,1.4917264448632546
FIN,Finland,2011,1.491993625256128
FIN,Finland,2012,1.5316052660471708
FIN,Finland,2013,1.5400718438109653
FIN,Finland,2014,1.4592795900026718
FIN,Finland,2015,1.4581906066834132
FIN,Finland,2016,1.4315051664912826
FIN,Finland,2017,1.3608893398485133
FIN,Finland,2018,1.371682369935965
FIN,Finland,2019,1.3613228351738653
FIN,Finland,2020,1.435781155478093
FIN,Finland,2021,1.3024392596999566
FIN,Finland,2022,1.5896067785146635
FIN,Finland,2023,2.008945640063332
FIN,Finland,2024,2.1771063512137494
FIN,Finland,2025,2.5711701623670273
FRA,France,1950,4.654181148916357
FRA,France,1951,5.98686277465438
FRA,France,1952,7.227919985773449
FRA,France,1953,7.571529048962207
FRA,France,1954,6.120785647087235
FRA,France,1955,5.384834805784858
FRA,France,1956,6.460392924756595
FRA,France,1957,6.160596439253867
FRA,France,1958,5.687529766452304
FRA,France,1959,5.63524691636675
FRA,France,1960,5.428485884930528
FRA,France,1961,5.295607538767162
FRA,France,1962,5.158871349531874
FRA,France,1963,4.740085717498635
FRA,France,1964,4.540250266698753
FRA,France,1965,4.395319513766133
FRA,France,1966,4.290103274243857
FRA,France,1967,4.295245946918958
FRA,France,1968,4.136846037776816
FRA,France,1969,3.6797517267576607
FRA,France,1970,3.4585577173322593
FRA,France,1971,3.3160930482422266
FRA,France,1972,3.2303045904312864
FRA,France,1973,3.143719204796976
FRA,France,1974,3.0864405807862436
FRA,France,1975,3.197145464028503
FRA,France,1976,3.156139584233468
FRA,France,1977,3.231568610344183
