country_code,country_name,period,year,rate_pct,source
NZL,New Zealand,2024,2024,0.309,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
NZL,New Zealand,2025–2027,2025,0.302,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
NOR,Norway,2024,2024,0.679,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
NOR,Norway,2025–2027,2025,0.653,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
KOR,South Korea,2024,2024,2.574,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
KOR,South Korea,2025–2027,2025,2.349,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
SWE,Sweden,2024,2024,0.871,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
SWE,Sweden,2025–2027,2025,0.822,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
CHE,Switzerland,2024,2024,1.134,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
CHE,Switzerland,2025–2027,2025,1.029,"UN General Assembly, A/79/318/Add.1 (effective rates of assessment for peacekeeping operations, 2025–2027; 'rate in 2024' column) — https://peacekeeping.un.org/sites/default/files/scale_of_assessments_for_the_apportionment_of_the_expenses_of_un_peacekeeping_operations_1_january_2025_to_31_december_2027.pdf"
