year,category,low,high,peak_month,missions,source
1973,UN-led,1317,1718,1973-11,"UNEF II 800–1,100; UNFICYP 480–581; UNTSO 20; UNMOGIP 17",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/danaca.html | https://digitallibrary.un.org/record/228891 | https://digitallibrary.un.org/record/490953 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1974,Other non-UN,2,2,1974-01,ICSC Laos 2,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html
1974,UN-led,1897,2113,1974-08,UNFICYP 859–950; UNEF II 844–900; UNDOF 157–226; UNTSO 20; UNMOGIP 17,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/489202 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/487653 | https://digitallibrary.un.org/record/228891 | https://digitallibrary.un.org/record/489615 | https://www.veterans.gc.ca/en/remembrance/military-history/peacekeeping/golan-heights-syria | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1975,UN-led,1960,2114,1975-01,UNFICYP 859–950; UNEF II 844–900; UNDOF 220–227; UNTSO 20; UNMOGIP 17,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/489202 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/487653 | https://digitallibrary.un.org/record/228891 | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1976,UN-led,1608,2015,1976-01,UNEF II 844–900; UNFICYP 515–859; UNDOF 220–227; UNTSO 20; UNMOGIP 9,https://digitallibrary.un.org/record/487653 | https://digitallibrary.un.org/record/228891 | https://digitallibrary.un.org/record/489202 | https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1977,UN-led,1607,1671,1977-01,UNEF II 844–900; UNFICYP 514–515; UNDOF 220–227; UNTSO 20; UNMOGIP 9,https://digitallibrary.un.org/record/487653 | https://digitallibrary.un.org/record/228891 | https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1978,UN-led,1709,1788,1978-06,UNEF II 844–900; UNFICYP 514–515; UNDOF 220–227; UNIFIL 102–117; UNTSO 20; UNMOGIP 9,https://digitallibrary.un.org/record/487653 | https://digitallibrary.un.org/record/228891 | https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/angora.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1979,UN-led,1599,1663,1979-01,UNEF II 844–900; UNFICYP 514–515; UNDOF 220–227; UNTSO 20; UNMOGIP 1,https://digitallibrary.un.org/record/487653 | https://digitallibrary.un.org/record/228891 | https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1980,UN-led,754,762,1980-01,UNFICYP 514–515; UNDOF 220–227; UNTSO 20,https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
1981,UN-led,754,762,1981-01,UNFICYP 514–515; UNDOF 220–227; UNTSO 20,https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
1982,UN-led,754,762,1982-01,UNFICYP 514–515; UNDOF 220–227; UNTSO 20,https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
