city,season,year,temp,temp_max
Calgary,Spring,1950,1.2,6.7
Calgary,Spring,1951,1.3,7.2
Calgary,Spring,1952,3.6,9.6
Calgary,Spring,1953,2.1,6.9
Calgary,Spring,1954,-0.5,4.3
Calgary,Spring,1955,0.5,5.8
Calgary,Spring,1956,2.8,8.7
Calgary,Spring,1957,4.3,9.9
Calgary,Spring,1958,3.2,8.6
Calgary,Spring,1959,4.2,10.0
Calgary,Spring,1960,3.1,8.8
Calgary,Spring,1961,4.3,9.8
Calgary,Spring,1962,3.4,9.6
Calgary,Spring,1963,4.9,11.0
Calgary,Spring,1964,2.9,8.8
Calgary,Spring,1965,1.6,7.2
Calgary,Spring,1966,3.9,10.0
Calgary,Spring,1967,0.3,5.6
Calgary,Spring,1968,4.4,10.9
Calgary,Spring,1969,4.7,11.0
Calgary,Spring,1970,3.0,8.8
Calgary,Spring,1971,3.7,9.7
Calgary,Spring,1972,4.3,10.8
Calgary,Spring,1973,5.0,10.8
Calgary,Spring,1974,2.4,8.2
Calgary,Spring,1975,0.9,6.4
Calgary,Spring,1976,5.1,11.7
Calgary,Spring,1977,5.4,12.2
Calgary,Spring,1978,3.5,8.7
Calgary,Spring,1979,3.1,8.9
Calgary,Spring,1980,5.0,11.5
Calgary,Spring,1981,6.0,12.4
Calgary,Spring,1982,1.7,7.6
Calgary,Spring,1983,4.0,10.0
Calgary,Spring,1984,4.2,10.5
Calgary,Spring,1985,5.6,11.8
Calgary,Spring,1986,6.1,12.3
Calgary,Spring,1987,6.1,12.9
Calgary,Spring,1988,6.8,13.5
Calgary,Spring,1989,2.3,8.5
Calgary,Spring,1990,5.0,11.4
Calgary,Spring,1991,3.9,10.1
Calgary,Spring,1992,6.5,13.2
Calgary,Spring,1993,5.4,11.4
Calgary,Spring,1994,6.5,13.1
Calgary,Spring,1995,3.3,9.9
Calgary,Spring,1996,1.9,7.6
Calgary,Spring,1997,2.6,9.0
Calgary,Spring,1998,4.8,10.9
Calgary,Spring,1999,4.4,11.2
Calgary,Spring,2000,4.3,10.5
Calgary,Spring,2001,5.2,12.0
Calgary,Spring,2002,-1.3,4.3
Calgary,Spring,2003,2.5,8.2
Calgary,Spring,2004,5.5,12.0
Calgary,Spring,2005,5.8,12.4
Calgary,Spring,2006,4.7,10.7
Calgary,Spring,2007,5.0,10.7
Calgary,Spring,2008,4.2,9.8
Calgary,Spring,2009,3.0,9.1
Calgary,Spring,2010,5.3,11.3
Calgary,Spring,2011,1.8,6.6
Calgary,Spring,2012,5.3,11.0
Calgary,Spring,2013,3.6,9.2
Calgary,Spring,2014,2.4,7.5
Calgary,Spring,2015,6.3,12.7
Calgary,Spring,2016,7.3,14.0
Calgary,Spring,2017,4.6,10.7
Calgary,Spring,2018,3.0,9.2
Calgary,Spring,2019,3.5,9.6
Calgary,Spring,2020,2.4,8.3
Calgary,Summer,1885,13.4,20.4
Calgary,Summer,1886,15.4,23.4
Calgary,Summer,1887,13.4,19.9
Calgary,Summer,1888,14.3,20.6
Calgary,Summer,1889,14.8,23.1
Calgary,Summer,1890,15.1,22.2
Calgary,Summer,1891,14.8,22.3
Calgary,Summer,1892,15.0,23.1
Calgary,Summer,1894,16.3,24.5
Calgary,Summer,1895,13.7,20.2
Calgary,Summer,1896,15.8,23.7
Calgary,Summer,1897,15.1,22.2
Calgary,Summer,1898,15.7,23.4
Calgary,Summer,1899,12.9,19.4
Calgary,Summer,1900,13.6,20.8
Calgary,Summer,1901,13.2,19.9
Calgary,Summer,1902,12.6,18.5
Calgary,Summer,1903,13.5,19.7
Calgary,Summer,1904,13.8,21.5
Calgary,Summer,1905,14.2,21.6
Calgary,Summer,1906,15.2,22.6
Calgary,Summer,1907,13.5,20.1
Calgary,Summer,1908,14.6,21.2
Calgary,Summer,1909,14.8,21.7
Calgary,Summer,1910,14.3,21.8
Calgary,Summer,1911,13.1,19.1
Calgary,Summer,1912,14.1,20.2
Calgary,Summer,1913,14.7,21.3
Calgary,Summer,1914,15.6,22.6
Calgary,Summer,1915,14.2,19.9
Calgary,Summer,1916,14.3,20.1
Calgary,Summer,1917,14.7,22.5
Calgary,Summer,1918,15.5,23.4
Calgary,Summer,1919,15.9,23.8
Calgary,Summer,1920,15.4,22.8
Calgary,Summer,1921,15.6,23.3
Calgary,Summer,1922,15.7,23.4
Calgary,Summer,1923,14.6,20.7
Calgary,Summer,1924,14.4,21.8
Calgary,Summer,1925,14.9,21.9
