country_code,country_name,year,source,generation_twh,share_pct,capacity_gw
AUS,Australia,2023,Bioenergy,3.13,1.1460583647614513,0.87
AUS,Australia,2023,Coal,125.61,45.99245725165684,22.86
AUS,Australia,2023,Gas,46.67,17.08835267840797,24.76
AUS,Australia,2023,Hydro,15.08,5.521584709457727,7.71
AUS,Australia,2023,Other fossil,5.76,2.1090403134268243,2.48
AUS,Australia,2023,Solar,44.99,16.473215920325142,30.67
AUS,Australia,2023,Wind,31.87,11.669290761964044,12.91
AUS,Australia,2024,Bioenergy,2.99,1.0616389717369694,0.94
AUS,Australia,2024,Coal,127.33,45.210197415139895,22.83
AUS,Australia,2024,Gas,49.1,17.433603181366284,26.28
AUS,Australia,2024,Hydro,12.85,4.562562136060219,7.71
AUS,Australia,2024,Other fossil,6.42,2.2795057520238604,2.45
AUS,Australia,2024,Solar,50.21,17.827723334753586,36.0
AUS,Australia,2024,Wind,32.74,11.624769208919188,15.56
AUS,Australia,2025,Bioenergy,3.04,1.0603418207185211,0.87
AUS,Australia,2025,Coal,122.32,42.66480641785839,22.63
AUS,Australia,2025,Gas,47.05,16.410882455528427,25.21
AUS,Australia,2025,Hydro,12.22,4.262295081967213,7.71
AUS,Australia,2025,Other fossil,6.36,2.218346703871643,2.14
AUS,Australia,2025,Solar,56.42,19.679107080572027,41.07
AUS,Australia,2025,Wind,39.29,13.70422043948378,16.35
CAN,Canada,2000,Bioenergy,8.92,1.4772614355271436,1.41
CAN,Canada,2000,Coal,116.23,19.24911397436322,18.56
CAN,Canada,2000,Gas,35.83,5.933887582392103,5.93
CAN,Canada,2000,Hydro,356.76,59.08383293034347,67.23
CAN,Canada,2000,Nuclear,72.29,11.972110893975026,10.61
CAN,Canada,2000,Other fossil,13.51,2.2374217482031065,2.23
CAN,Canada,2000,Solar,0.02,0.0033122453711370934,0.0
CAN,Canada,2000,Wind,0.26,0.04305918982478222,0.09
CAN,Canada,2001,Bioenergy,9.67,1.6452293453110112,1.73
CAN,Canada,2001,Coal,111.69,19.002654144548796,18.56
CAN,Canada,2001,Gas,42.29,7.195113651830678,7.65
CAN,Canada,2001,Hydro,331.52,56.40397441132434,66.88
CAN,Canada,2001,Nuclear,76.16,12.957669797196134,10.61
CAN,Canada,2001,Other fossil,16.08,2.735810534912209,2.23
CAN,Canada,2001,Solar,0.02,0.0034027494215325984,0.0
CAN,Canada,2001,Wind,0.33,0.05614536545528787,0.13
CAN,Canada,2002,Bioenergy,10.05,1.6755864552593411,1.82
CAN,Canada,2002,Coal,110.7,18.45645976091632,18.56
CAN,Canada,2002,Gas,38.83,6.473932543056736,8.1
CAN,Canada,2002,Hydro,349.27,58.232047883425864,69.03
CAN,Canada,2002,Nuclear,75.0,12.504376531786127,10.61
CAN,Canada,2002,Other fossil,15.51,2.5859050667733707,2.23
CAN,Canada,2002,Solar,0.02,0.0033345004084763003,0.0
CAN,Canada,2002,Wind,0.41,0.06835725837376415,0.16
CAN,Canada,2003,Bioenergy,9.42,1.6013055229741446,2.12
CAN,Canada,2003,Coal,109.56,18.624101178030497,18.56
CAN,Canada,2003,Gas,38.73,6.583711561017899,9.91
CAN,Canada,2003,Hydro,336.14,57.14042871470583,70.2
CAN,Canada,2003,Nuclear,74.37,12.642154112907338,10.61
CAN,Canada,2003,Other fossil,19.34,3.2876060312441564,2.23
CAN,Canada,2003,Solar,0.02,0.0033997994118347024,0.0
CAN,Canada,2003,Wind,0.69,0.11729307970829721,0.33
CAN,Canada,2004,Bioenergy,9.8,1.6374269005847955,2.06
CAN,Canada,2004,Coal,99.9,16.691729323308273,18.56
CAN,Canada,2004,Gas,40.44,6.75689223057644,11.08
CAN,Canada,2004,Hydro,338.4,56.54135338345865,70.68
CAN,Canada,2004,Nuclear,89.76,14.99749373433584,12.81
CAN,Canada,2004,Other fossil,19.25,3.216374269005848,2.23
CAN,Canada,2004,Solar,0.01,0.0016708437761069341,0.0
CAN,Canada,2004,Wind,0.94,0.1570593149540518,0.44
CAN,Canada,2005,Bioenergy,9.16,1.476228847703465,1.93
CAN,Canada,2005,Coal,102.86,16.576954069298953,16.37
CAN,Canada,2005,Gas,36.88,5.943593875906528,11.08
CAN,Canada,2005,Hydro,361.96,58.33360193392425,71.8
CAN,Canada,2005,Nuclear,91.4,14.730056406124096,13.35
CAN,Canada,2005,Other fossil,16.65,2.683319903303787,2.28
CAN,Canada,2005,Solar,0.02,0.0032232070910556,0.0
CAN,Canada,2005,Wind,1.57,0.25302175664786464,0.68
CAN,Canada,2006,Bioenergy,8.94,1.4693555544598393,1.95
CAN,Canada,2006,Coal,95.92,15.765166083197741,16.37
CAN,Canada,2006,Gas,40.42,6.643327909537663,11.74
CAN,Canada,2006,Hydro,352.89,58.000098614466744,72.66
CAN,Canada,2006,Nuclear,97.28,15.988692207813553,13.35
CAN,Canada,2006,Other fossil,10.49,1.7241095935440396,2.28
CAN,Canada,2006,Solar,0.02,0.003287148891409037,0.0
CAN,Canada,2006,Wind,2.47,0.40596288808901604,1.42
CAN,Canada,2007,Bioenergy,8.99,1.4175562528579762,1.89
CAN,Canada,2007,Coal,106.47,16.788344187073275,16.37
CAN,Canada,2007,Gas,43.01,6.7818792475441105,11.74
CAN,Canada,2007,Hydro,367.62,57.96685535880414,73.28
CAN,Canada,2007,Nuclear,92.83,14.637569182737034,13.35
CAN,Canada,2007,Other fossil,12.23,1.9284441571137987,2.28
CAN,Canada,2007,Solar,0.03,0.0047304435579242805,0.0
CAN,Canada,2007,Wind,3.01,0.4746211703117361,1.84
CAN,Canada,2008,Bioenergy,7.98,1.256475256254822,1.82
CAN,Canada,2008,Coal,100.8,15.87126639479775,16.37
CAN,Canada,2008,Gas,39.63,6.239863960573759,12.83
CAN,Canada,2008,Hydro,377.49,59.43694793027979,74.23
CAN,Canada,2008,Nuclear,95.35,15.01314732880918,13.35
CAN,Canada,2008,Other fossil,10.03,1.5792539874982285,2.28
CAN,Canada,2008,Solar,0.04,0.006298121585237203,0.0
CAN,Canada,2008,Wind,3.79,0.5967470202012249,2.34
CAN,Canada,2009,Bioenergy,8.94,1.4563344030495056,1.9
CAN,Canada,2009,Coal,84.72,13.800967631583234,16.37
CAN,Canada,2009,Gas,45.27,7.37452555101243,15.36
CAN,Canada,2009,Hydro,368.69,60.059947545897344,74.51
CAN,Canada,2009,Nuclear,89.46,14.573118086891359,12.66
CAN,Canada,2009,Other fossil,10.04,1.635525436981771,2.28
CAN,Canada,2009,Solar,0.11,0.01791910339322658,0.05
CAN,Canada,2009,Wind,6.64,1.0816622411911316,3.28
CAN,Canada,2010,Bioenergy,10.3,1.6967859908077032,1.98
CAN,Canada,2010,Coal,86.45,14.241470767507373,14.05
CAN,Canada,2010,Gas,52.78,8.694792679109764,16.31
CAN,Canada,2010,Hydro,351.39,57.886760127176586,74.9
CAN,Canada,2010,Nuclear,90.03,14.83122745169102,12.66
CAN,Canada,2010,Other fossil,7.1,1.1696291781295818,2.28
CAN,Canada,2010,Solar,0.26,0.04283149103009736,0.19
CAN,Canada,2010,Wind,8.72,1.4365023145478808,3.97
CAN,Canada,2011,Bioenergy,10.21,1.5996365174612626,1.97
CAN,Canada,2011,Coal,79.9,12.518213295313895,13.57
CAN,Canada,2011,Gas,62.53,9.796794460024755,16.36
CAN,Canada,2011,Hydro,375.72,58.86537045450986,75.4
CAN,Canada,2011,Nuclear,92.94,14.561235840631708,12.66
CAN,Canada,2011,Other fossil,6.21,0.9729424851551852,2.28
CAN,Canada,2011,Solar,0.57,0.08930389960361602,0.42
CAN,Canada,2011,Wind,10.19,1.596503047299732,5.26
CAN,Canada,2012,Bioenergy,10.91,1.7139535614415435,2.03
CAN,Canada,2012,Coal,69.35,10.89483771640431,13.34
CAN,Canada,2012,Gas,63.24,9.934960882269772,16.85
CAN,Canada,2012,Hydro,380.27,59.740157727715456,75.36
CAN,Canada,2012,Nuclear,94.2,14.798755773399943,13.37
CAN,Canada,2012,Other fossil,6.38,1.0022936500455588,2.28
CAN,Canada,2012,Solar,0.88,0.13824740000628397,0.65
CAN,Canada,2012,Wind,11.31,1.7767932887171272,6.2
CAN,Canada,2013,Bioenergy,11.04,1.6837224908112063,2.06
CAN,Canada,2013,Coal,70.54,10.75813265415059,10.25
CAN,Canada,2013,Gas,60.29,9.1948939285333,17.22
CAN,Canada,2013,Hydro,391.79,59.75232198142415,75.34
CAN,Canada,2013,Nuclear,102.72,15.665939697112963,14.03
CAN,Canada,2013,Other fossil,6.66,1.015723893913282,2.28
CAN,Canada,2013,Solar,1.5,0.22876664277326175,1.03
CAN,Canada,2013,Wind,11.15,1.7004987112812457,7.8
CAN,Canada,2014,Bioenergy,9.8,1.5008346478398702,2.53
CAN,Canada,2014,Coal,69.38,10.625296721135733,9.98
CAN,Canada,2014,Gas,65.05,9.96217284101873,17.22
CAN,Canada,2014,Hydro,382.5,58.578495183545954,75.3
CAN,Canada,2014,Nuclear,106.54,16.316216671516305,14.03
CAN,Canada,2014,Other fossil,4.76,0.728976828950794,2.28
CAN,Canada,2014,Solar,2.12,0.3246703523898495,1.57
CAN,Canada,2014,Wind,12.82,1.963336753602769,9.69
CAN,Canada,2015,Bioenergy,9.99,1.5111635505536394,2.51
CAN,Canada,2015,Coal,64.96,9.826344769165605,9.98
CAN,Canada,2015,Gas,67.98,10.283172989653295,18.48
CAN,Canada,2015,Hydro,382.19,57.81297271132087,79.23
CAN,Canada,2015,Nuclear,101.1,15.293156652750042,14.03
CAN,Canada,2015,Other fossil,5.0,0.7563381133902098,2.28
CAN,Canada,2015,Solar,2.89,0.4371634295395413,2.14
CAN,Canada,2015,Wind,26.97,4.079687783626792,11.21
CAN,Canada,2016,Bioenergy,11.36,1.7028165425029602,2.56
CAN,Canada,2016,Coal,65.02,9.746226372670993,9.98
CAN,Canada,2016,Gas,65.82,9.866143030593737,18.58
CAN,Canada,2016,Hydro,385.43,57.77434682895388,80.13
CAN,Canada,2016,Nuclear,100.72,15.097507232473431,14.03
CAN,Canada,2016,Other fossil,4.84,0.7254957804325993,2.28
CAN,Canada,2016,Solar,3.01,0.45118642543432314,2.27
CAN,Canada,2016,Wind,30.93,4.636277786938078,11.97
CAN,Canada,2017,Bioenergy,11.15,1.6657951744229478,2.68
CAN,Canada,2017,Coal,62.81,9.383730484798686,9.98
CAN,Canada,2017,Gas,61.46,9.18204227982371,18.88
CAN,Canada,2017,Hydro,394.59,58.951221334130125,80.66
CAN,Canada,2017,Nuclear,100.6,15.029506237394486,14.03
CAN,Canada,2017,Other fossil,3.92,0.5856427877791888,2.28
CAN,Canada,2017,Solar,3.31,0.4945095988645701,2.49
CAN,Canada,2017,Wind,31.51,4.707552102786285,12.25
CAN,Canada,2018,Bioenergy,10.54,1.5940713853599513,2.69
CAN,Canada,2018,Coal,53.02,8.018753781004234,9.32
CAN,Canada,2018,Gas,70.74,10.698729582577132,18.88
CAN,Canada,2018,Hydro,385.89,58.36206896551723,81.4
CAN,Canada,2018,Nuclear,100.03,15.12855414398064,13.34
CAN,Canada,2018,Other fossil,4.02,0.6079854809437385,2.28
