country_code,country_name,year,coal_share_energy,oil_share_energy,gas_share_energy,nuclear_share_energy,renewables_share_energy,hydro_share_energy,solar_share_energy,wind_share_energy,biofuel_share_energy,low_carbon_share_energy,fossil_share_energy,coal_share_elec,oil_share_elec,gas_share_elec,nuclear_share_elec,renewables_share_elec,hydro_share_elec,low_carbon_share_elec,fossil_share_elec,primary_energy_consumption
NOR,Norway,2020,1.685303807258606,19.171785354614254,8.180005073547363,0.0,70.96290588378906,65.32740783691406,0.0619701370596885,4.59439754486084,0.838435709476471,70.96290588378906,29.037094116210938,0.0259201638400554,0.4147226214408874,1.043286681175232,0.0,98.5160675048828,91.8869857788086,98.5160675048828,1.4839293956756592,556.3814697265625
NOR,Norway,2021,1.7955440282821655,19.249961853027344,7.649070262908935,0.0,71.30542755126953,65.033935546875,0.0492114163935184,5.3165364265441895,0.7824074625968933,71.30542755126953,28.69457626342773,0.025456627830863,0.4582193195819855,0.1972888708114624,0.0,99.31903076171876,91.62476348876952,99.31903076171876,0.6809648275375366,569.2003173828125
NOR,Norway,2022,1.8290324211120603,20.94331359863281,7.579246520996094,0.0,69.64840698242188,61.53422927856445,0.0829475298523902,7.106320858001709,0.779586911201477,69.64840698242188,30.351593017578125,0.0275065321475267,0.5363773703575134,0.7908127903938293,0.0,98.64530181884766,88.18595123291016,98.64530181884766,1.3546967506408691,533.5675048828125
NOR,Norway,2023,1.604559063911438,20.481569290161133,7.155900955200195,0.0,70.75797271728516,63.21062469482422,0.1653477549552917,6.456862926483154,0.7775281071662903,70.75797271728516,29.24202919006348,0.0195274353027343,0.5142225027084351,0.9958992004394532,0.0,98.47034454345705,88.98652648925781,98.47034454345705,1.529649019241333,551.4962158203125
NOR,Norway,2024,1.654673457145691,20.208688735961918,6.324661731719971,0.0,71.81197357177734,63.92580795288086,0.2535352408885956,6.651942253112793,0.9034707546234132,71.81197357177734,28.18802261352539,0.0,0.4582776427268982,0.9356501698493958,0.0,98.60607147216795,88.8231201171875,98.60607147216795,1.393927812576294,555.6262817382812
NZL,New Zealand,1965,22.827056884765625,38.9406852722168,0.0,0.0,38.23225784301758,33.20600509643555,0.0,0.0,0.0,38.23225784301758,61.76774215698242,,,,,,,,,85.2179183959961
NZL,New Zealand,1966,20.90705680847168,40.59784698486328,0.0,0.0,38.49509811401367,33.723514556884766,0.0,0.0,0.0,38.49509811401367,61.50490188598633,,,,,,,,,90.5492172241211
NZL,New Zealand,1967,18.95179748535156,42.3304557800293,0.0,0.0,38.71774673461914,34.765140533447266,0.0,0.0,0.0,38.71774673461914,61.28225326538086,,,,,,,,,91.34092712402344
NZL,New Zealand,1968,17.431501388549805,42.50814056396485,0.0,0.0,40.060359954833984,35.64900207519531,0.0,0.0,0.0,40.060359954833984,59.939640045166016,,,,,,,,,93.47526550292967
NZL,New Zealand,1969,17.562089920043945,43.379764556884766,0.0,0.0,39.058143615722656,34.616966247558594,0.0,0.0,0.0,39.058143615722656,60.941856384277344,,,,,,,,,95.0771484375
