city,year,month,temp
Alert,1992,8,-1.0
Alert,1992,9,-8.0
Alert,1992,10,-18.5
Alert,1992,11,-26.1
Alert,1992,12,-28.7
Alert,1993,1,-30.3
Alert,1993,2,-27.6
Alert,1993,3,-30.4
Alert,1993,4,-22.3
Alert,1993,5,-9.8
Alert,1993,6,-1.8
Alert,1993,7,4.3
Alert,1993,8,-0.9
Alert,1993,9,-10.9
Alert,1993,10,-16.1
Alert,1993,11,-25.8
Alert,1993,12,-29.3
Alert,1994,1,-31.4
Alert,1994,2,-30.6
Alert,1994,3,-31.8
Alert,1994,4,-23.2
Alert,1994,5,-9.8
Alert,1994,6,0.8
Alert,1994,7,3.0
Alert,1994,8,1.1
Alert,1994,9,-6.4
Alert,1994,10,-15.9
Alert,1994,11,-21.6
Alert,1994,12,-28.8
Alert,1995,1,-31.4
Alert,1995,2,-31.4
Alert,1995,3,-31.7
Alert,1995,4,-14.2
Alert,1995,5,-9.1
Alert,1995,6,-1.2
Alert,1995,7,1.2
Alert,1995,8,0.9
Alert,1995,9,-5.6
Alert,1995,10,-17.7
Alert,1995,11,-23.7
Alert,1995,12,-30.3
Alert,1996,1,-30.0
Alert,1996,2,-27.8
Alert,1996,3,-28.7
Alert,1996,4,-20.6
Alert,1996,5,-8.7
Alert,1996,6,-1.2
Alert,1996,7,2.0
Alert,1996,8,-0.9
Alert,1996,9,-9.5
Alert,1996,10,-18.3
Alert,1996,11,-18.7
Alert,1996,12,-25.1
Alert,1997,1,-31.2
Alert,1997,2,-31.7
Alert,1997,3,-26.0
Alert,1997,4,-20.8
Alert,1997,5,-11.2
Alert,1997,6,-2.6
Alert,1997,7,1.8
Alert,1997,8,-1.6
Alert,1997,9,-9.0
Alert,1997,10,-18.0
Alert,1997,11,-21.8
Alert,1997,12,-27.5
Alert,1998,1,-29.3
Alert,1998,2,-31.1
Alert,1998,3,-26.6
Alert,1998,4,-20.6
Alert,1998,5,-11.0
Alert,1998,6,0.3
Alert,1998,7,3.8
Alert,1998,8,0.7
Alert,1998,9,-6.6
Alert,1998,10,-16.4
Alert,1998,11,-19.9
Alert,1998,12,-27.2
Alert,1999,1,-31.1
Alert,1999,2,-29.9
Alert,1999,3,-27.9
Alert,1999,4,-21.3
Alert,1999,5,-11.4
Alert,1999,6,-2.3
Alert,1999,7,2.6
Alert,1999,8,-2.2
Alert,1999,9,-8.1
Alert,1999,10,-17.4
Alert,1999,11,-21.6
Alert,1999,12,-31.2
Alert,2000,1,-33.1
Alert,2000,2,-32.3
Alert,2000,3,-31.0
Alert,2000,4,-25.5
Alert,2000,5,-12.6
Alert,2000,6,0.6
Alert,2000,7,2.6
Alert,2000,8,-0.3
Alert,2000,9,-10.0
Alert,2000,10,-17.2
Alert,2000,11,-25.3
Alert,2000,12,-27.4
Alert,2001,1,-29.3
Alert,2001,2,-32.2
Alert,2001,3,-32.9
Alert,2001,4,-24.6
Alert,2001,5,-13.1
Alert,2001,6,-1.4
Alert,2001,7,1.7
Alert,2001,8,0.1
Alert,2001,9,-8.3
Alert,2001,10,-17.4
Alert,2001,11,-24.5
Alert,2001,12,-23.8
Alert,2002,1,-30.4
Alert,2002,2,-36.5
Alert,2002,3,-30.3
Alert,2002,4,-26.2
Alert,2002,5,-11.3
Alert,2002,6,-0.8
Alert,2002,7,3.2
Alert,2002,8,2.4
Alert,2002,9,-7.1
Alert,2002,10,-12.5
Alert,2002,11,-23.8
Alert,2002,12,-24.0
Alert,2003,1,-26.9
Alert,2003,2,-32.2
Alert,2003,3,-33.8
Alert,2003,4,-24.6
Alert,2003,5,-11.0
Alert,2003,6,-1.9
Alert,2003,7,4.9
Alert,2003,8,1.8
Alert,2003,9,-5.9
Alert,2003,10,-16.0
Alert,2003,11,-26.2
Alert,2003,12,-26.4
Alert,2004,1,-30.7
Alert,2004,2,-30.8
Alert,2004,3,-34.2
Alert,2004,4,-22.9
Alert,2004,5,-11.8
Alert,2004,6,-2.0
Alert,2004,7,2.1
Alert,2004,8,0.2
Alert,2004,9,-10.8
Alert,2004,10,-19.5
Alert,2004,11,-27.1
Alert,2004,12,-31.0
Alert,2005,1,-29.6
Alert,2005,2,-25.6
Alert,2005,3,-29.6
Alert,2005,4,-24.0
Alert,2005,5,-7.9
Alert,2005,6,-0.1
Alert,2005,7,1.9
Alert,2005,8,-1.1
Alert,2005,9,-8.1
Alert,2005,10,-17.1
Alert,2005,11,-23.7
Alert,2005,12,-24.5
Alert,2006,1,-25.5
Alert,2006,2,-30.6
Alert,2006,3,-28.5
Alert,2006,4,-21.2
Alert,2006,5,-8.4
Alert,2006,6,-1.6
Alert,2006,7,3.1
Alert,2006,8,-1.1
Alert,2006,9,-5.7
Alert,2006,10,-12.5
Alert,2006,11,-24.0
Alert,2006,12,-30.0
Alert,2007,1,-29.0
Alert,2007,2,-28.1
Alert,2007,3,-31.9
Alert,2007,4,-19.4
Alert,2007,5,-13.2
Alert,2007,7,2.4
Alert,2007,8,1.6
Alert,2007,9,-6.0
Alert,2007,10,-15.6
Alert,2007,11,-23.9
Alert,2007,12,-27.1
Alert,2008,1,-32.2
Alert,2008,2,-27.4
Alert,2008,3,-32.4
Alert,2008,4,-23.3
Alert,2008,5,-10.0
Alert,2008,6,1.7
Alert,2008,7,4.6
Alert,2008,8,0.3
Alert,2008,9,-8.3
Alert,2008,10,-18.0
Alert,2008,11,-21.8
Alert,2008,12,-28.2
Alert,2009,1,-26.9
Alert,2009,2,-30.9
Alert,2009,3,-34.4
Alert,2009,4,-25.1
Alert,2009,5,-10.9
Alert,2009,6,-2.4
Alert,2009,7,5.3
Alert,2009,8,3.1
Alert,2009,9,-6.2
Alert,2009,10,-17.5
Alert,2009,11,-20.6
Alert,2009,12,-25.0
Alert,2010,1,-29.5
Alert,2010,2,-28.1
Alert,2010,3,-28.4
Alert,2010,4,-18.5
Alert,2010,5,-8.1
Alert,2010,6,-0.2
Alert,2010,7,5.5
Alert,2010,8,1.4
Alert,2010,9,-9.9
Alert,2010,10,-18.2
Alert,2010,11,-22.1
Alert,2010,12,-23.4
Alert,2011,1,-26.3
Alert,2011,2,-30.2
Alert,2011,3,-25.2
Alert,2011,4,-25.8
Alert,2011,5,-9.3
Alert,2011,6,2.9
Alert,2011,7,2.9
Alert,2011,8,3.0
Alert,2011,9,-8.0
Alert,2011,10,-17.9
Alert,2011,11,-22.3
Alert,2011,12,-28.9
Alert,2012,1,-30.0
Alert,2012,2,-30.9
Alert,2012,3,-32.1
Alert,2012,4,-23.4
Alert,2012,5,-11.5
Alert,2012,6,2.0
Alert,2012,7,4.3
Alert,2012,8,3.0
Alert,2012,9,-7.2
Alert,2012,10,-16.2
Alert,2012,11,-23.6
Alert,2012,12,-24.0
Alert,2013,1,-28.4
Alert,2013,2,-37.3
Alert,2013,3,-27.9
Alert,2013,4,-22.6
Alert,2013,5,-12.7
Alert,2013,7,2.5
Alert,2013,8,-1.1
Alert,2013,9,-8.9
Alert,2013,10,-18.1
Alert,2013,11,-24.6
Alert,2013,12,-26.8
Alert,2014,1,-27.7
Alert,2014,2,-29.0
Alert,2014,5,-9.1
Alert,2014,6,-2.2
Alert,2014,7,1.8
Alert,2014,8,2.5
Alert,2014,9,-7.2
Alert,2014,10,-17.5
Alert,2014,11,-23.9
Alert,2014,12,-27.2
Alert,2015,1,-26.9
Alert,2015,2,-29.4
Alert,2015,3,-30.6
Alert,2015,4,-22.5
Alert,2015,5,-14.1
Alert,2015,6,1.4
Alert,2015,7,5.5
Alert,2015,8,0.3
Alert,2015,9,-7.1
Alert,2015,10,-15.3
Alert,2015,11,-22.9
Alert,2015,12,-26.4
Alert,2016,1,-24.4
Alert,2016,2,-27.4
Alert,2016,3,-29.4
Alert,2016,4,-24.5
Alert,2016,5,-11.3
Alert,2016,6,2.8
Alert,2016,7,8.1
Alert,2016,8,2.3
Alert,2016,9,-4.6
Alert,2016,10,-14.6
Alert,2016,11,-19.0
Alert,2016,12,-25.1
Alert,2017,1,-29.3
Alert,2017,2,-28.8
Alert,2017,3,-30.2
Alert,2017,4,-22.8
Alert,2017,5,-11.9
Alert,2017,6,0.1
Alert,2017,7,4.4
Alert,2017,8,1.6
Alert,2017,9,-10.0
Alert,2017,10,-20.1
Alert,2017,11,-24.6
Alert,2017,12,-25.8
Alert,2018,1,-27.5
Alert,2018,2,-24.8
Alert,2018,3,-29.3
Alert,2018,4,-24.4
Alert,2018,5,-11.9
Alert,2018,6,-0.8
Alert,2018,7,3.9
Alert,2018,8,3.1
Alert,2018,9,-8.1
Alert,2018,10,-13.7
Alert,2018,11,-25.6
Alert,2018,12,-27.0
Alert,2019,1,-29.8
Alert,2019,2,-28.2
Alert,2019,3,-27.9
Alert,2019,4,-22.8
Alert,2019,5,-7.9
Alert,2019,6,2.7
Alert,2019,7,5.5
Alert,2019,8,4.4
Alert,2019,9,-6.7
Alert,2019,10,-11.3
Alert,2019,11,-24.4
Alert,2019,12,-26.0
Alert,2020,1,-33.9
