year,geo,geo_level,age_group,households,owners,owners_single_detached,rate_pct,single_detached_share_of_owners_pct,source
1971,Canada,Canada,60 to 64 years,,,,70.7,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1971,Canada,Canada,65 to 74 years,,,,68.9,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1971,Canada,Canada,75 years and over,,,,65.7,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1971,Canada,Canada,All ages (20 and over),,,,60.3,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1976,Canada,Canada,20 to 24 years,,,,20.3,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1976,Canada,Canada,20 to 34 years,,,,44.3,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1976,Canada,Canada,25 to 29 years,,,,43.4,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1976,Canada,Canada,30 to 34 years,,,,60.8,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1976,Canada,Canada,35 to 39 years,,,,69.0,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1976,Canada,Canada,35 to 54 years,,,,72.6,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1976,Canada,Canada,40 to 44 years,,,,73.0,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1976,Canada,Canada,45 to 49 years,,,,74.4,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1976,Canada,Canada,50 to 54 years,,,,74.3,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1976,Canada,Canada,55 to 59 years,,,,73.1,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1976,Canada,Canada,55 to 64 years,,,,71.8,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1976,Canada,Canada,60 to 64 years,,,,70.5,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1976,Canada,Canada,65 to 69 years,,,,67.3,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1976,Canada,Canada,65 to 74 years,,,,66.1,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1976,Canada,Canada,75 years and over,,,,61.0,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1976,Canada,Canada,All ages (20 and over),,,,62.3,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1981,Canada,Canada,20 to 24 years,,,,19.2,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,20 to 34 years,,,,44.6,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1981,Canada,Canada,25 to 29 years,,,,42.2,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,30 to 34 years,,,,61.5,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,35 to 39 years,,,,70.3,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,35 to 54 years,,,,73.8,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1981,Canada,Canada,40 to 44 years,,,,74.2,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,45 to 49 years,,,,75.7,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,50 to 54 years,,,,75.9,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,55 to 59 years,,,,74.8,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,55 to 64 years,,,,73.6,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1981,Canada,Canada,60 to 64 years,,,,72.3,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,65 to 69 years,,,,68.2,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,65 to 74 years,,,,66.1,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1981,Canada,Canada,70 to 74 years,,,,63.2,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1981,Canada,Canada,75 years and over,,,,57.1,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1981,Canada,Canada,All ages (20 and over),,,,62.5,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1986,Canada,Canada,20 to 24 years,,,,16.9,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
