country_code,country_name,year,subject,score,se,caution
USA,United States,2022,Mathematics,464.89,4.007,True
USA,United States,2025,Mathematics,462.85,5.397,True
AUS,Australia,2000,Reading,528.28,3.523,False
AUS,Australia,2003,Reading,525.43,2.126,False
AUS,Australia,2006,Reading,512.89,2.062,False
AUS,Australia,2009,Reading,514.9,2.337,False
AUS,Australia,2012,Reading,511.8,1.577,False
AUS,Australia,2015,Reading,502.9,1.691,False
AUS,Australia,2018,Reading,502.63,1.634,False
AUS,Australia,2022,Reading,498.05,2.014,False
AUS,Australia,2025,Reading,490.86,1.852,False
CAN,Canada,2000,Reading,534.31,1.559,True
CAN,Canada,2003,Reading,527.91,1.747,True
CAN,Canada,2006,Reading,527.01,2.439,True
CAN,Canada,2009,Reading,524.24,1.483,True
CAN,Canada,2012,Reading,523.12,1.926,True
CAN,Canada,2015,Reading,526.67,2.301,True
CAN,Canada,2018,Reading,520.09,1.8,True
CAN,Canada,2022,Reading,507.13,1.966,True
CAN,Canada,2025,Reading,489.83,1.781,True
CHE,Switzerland,2000,Reading,494.37,4.247,False
CHE,Switzerland,2003,Reading,499.12,3.281,False
CHE,Switzerland,2006,Reading,499.28,3.061,False
CHE,Switzerland,2009,Reading,500.5,2.444,False
CHE,Switzerland,2012,Reading,509.04,2.565,False
CHE,Switzerland,2015,Reading,492.2,3.031,False
CHE,Switzerland,2018,Reading,483.93,3.124,False
CHE,Switzerland,2022,Reading,483.33,2.258,False
CHE,Switzerland,2025,Reading,470.05,2.921,False
DEU,Germany,2000,Reading,483.99,2.465,False
DEU,Germany,2003,Reading,491.36,3.386,False
DEU,Germany,2006,Reading,494.94,4.41,False
DEU,Germany,2009,Reading,497.31,2.656,False
DEU,Germany,2012,Reading,507.68,2.816,False
DEU,Germany,2015,Reading,509.1,3.018,False
DEU,Germany,2018,Reading,498.28,3.025,False
DEU,Germany,2022,Reading,479.79,3.609,False
DEU,Germany,2025,Reading,465.28,3.562,False
DNK,Denmark,2000,Reading,496.87,2.353,False
DNK,Denmark,2003,Reading,492.32,2.818,False
DNK,Denmark,2006,Reading,494.48,3.178,False
DNK,Denmark,2009,Reading,494.92,2.074,False
DNK,Denmark,2012,Reading,496.13,2.648,False
DNK,Denmark,2015,Reading,499.81,2.545,False
DNK,Denmark,2018,Reading,501.13,1.795,False
DNK,Denmark,2022,Reading,488.8,2.578,False
DNK,Denmark,2025,Reading,460.01,2.373,False
FIN,Finland,2000,Reading,546.47,2.578,False
FIN,Finland,2003,Reading,543.46,1.642,False
FIN,Finland,2006,Reading,546.87,2.147,False
FIN,Finland,2009,Reading,535.88,2.254,False
FIN,Finland,2012,Reading,524.02,2.382,False
FIN,Finland,2015,Reading,526.42,2.547,False
FIN,Finland,2018,Reading,520.08,2.307,False
FIN,Finland,2022,Reading,490.22,2.255,False
FIN,Finland,2025,Reading,474.3,2.12,False
FRA,France,2000,Reading,504.74,2.728,False
FRA,France,2003,Reading,496.19,2.678,False
FRA,France,2006,Reading,487.71,4.064,False
FRA,France,2009,Reading,495.62,3.442,False
FRA,France,2012,Reading,505.48,2.826,False
FRA,France,2015,Reading,499.31,2.507,False
FRA,France,2018,Reading,492.61,2.321,False
FRA,France,2022,Reading,473.85,3.075,False
FRA,France,2025,Reading,456.33,3.244,False
GBR,United Kingdom,2006,Reading,495.08,2.255,False
GBR,United Kingdom,2009,Reading,494.18,2.28,False
GBR,United Kingdom,2012,Reading,499.32,3.5,False
GBR,United Kingdom,2015,Reading,497.97,2.769,False
GBR,United Kingdom,2018,Reading,503.93,2.583,False
GBR,United Kingdom,2022,Reading,494.4,2.371,False
GBR,United Kingdom,2025,Reading,494.23,2.021,False
ISR,Israel,2000,Reading,452.17,8.467,False
ISR,Israel,2006,Reading,438.67,4.581,False
ISR,Israel,2009,Reading,473.99,3.634,False
ISR,Israel,2012,Reading,485.8,5.007,False
ISR,Israel,2015,Reading,478.96,3.777,False
ISR,Israel,2018,Reading,470.42,3.671,False
ISR,Israel,2022,Reading,473.83,3.487,False
ISR,Israel,2025,Reading,435.84,3.524,False
ITA,Italy,2000,Reading,487.47,2.913,False
ITA,Italy,2003,Reading,475.66,3.044,False
ITA,Italy,2006,Reading,468.52,2.426,False
ITA,Italy,2009,Reading,486.05,1.572,False
ITA,Italy,2012,Reading,489.75,1.972,False
ITA,Italy,2015,Reading,484.76,2.681,False
ITA,Italy,2018,Reading,476.28,2.439,False
ITA,Italy,2022,Reading,481.6,2.68,False
ITA,Italy,2025,Reading,474.29,2.598,False
JPN,Japan,2000,Reading,522.23,5.21,False
JPN,Japan,2003,Reading,498.11,3.924,False
JPN,Japan,2006,Reading,497.96,3.65,False
JPN,Japan,2009,Reading,519.86,3.466,False
JPN,Japan,2012,Reading,538.05,3.673,False
JPN,Japan,2015,Reading,515.96,3.197,False
JPN,Japan,2018,Reading,503.86,2.671,False
JPN,Japan,2022,Reading,515.85,3.177,False
JPN,Japan,2025,Reading,502.71,3.778,False
KOR,South Korea,2000,Reading,524.75,2.416,False
KOR,South Korea,2003,Reading,534.09,3.092,False
KOR,South Korea,2006,Reading,556.02,3.813,False
KOR,South Korea,2009,Reading,539.27,3.461,False
KOR,South Korea,2012,Reading,535.79,3.941,False
KOR,South Korea,2015,Reading,517.44,3.505,False
KOR,South Korea,2018,Reading,514.05,2.941,False
KOR,South Korea,2022,Reading,515.42,3.632,False
KOR,South Korea,2025,Reading,500.56,3.446,False
NLD,Netherlands,2003,Reading,513.12,2.854,True
NLD,Netherlands,2006,Reading,506.75,2.925,True
NLD,Netherlands,2009,Reading,508.4,5.15,True
NLD,Netherlands,2012,Reading,511.23,3.469,True
NLD,Netherlands,2015,Reading,502.96,2.412,True
NLD,Netherlands,2018,Reading,484.78,2.651,True
NLD,Netherlands,2022,Reading,459.24,4.282,True
NLD,Netherlands,2025,Reading,441.34,2.895,True
NOR,Norway,2000,Reading,505.28,2.802,True
NOR,Norway,2003,Reading,499.74,2.776,True
NOR,Norway,2006,Reading,484.29,3.182,True
NOR,Norway,2009,Reading,503.23,2.581,True
NOR,Norway,2012,Reading,503.94,3.215,True
NOR,Norway,2015,Reading,513.19,2.509,True
NOR,Norway,2018,Reading,499.45,2.172,True
NOR,Norway,2022,Reading,476.52,2.542,True
NOR,Norway,2025,Reading,452.8,2.087,True
NZL,New Zealand,2000,Reading,528.8,2.784,True
NZL,New Zealand,2003,Reading,521.55,2.459,True
NZL,New Zealand,2006,Reading,521.03,2.991,True
NZL,New Zealand,2009,Reading,520.88,2.353,True
NZL,New Zealand,2012,Reading,512.19,2.398,True
NZL,New Zealand,2015,Reading,509.27,2.405,True
NZL,New Zealand,2018,Reading,505.73,2.043,True
NZL,New Zealand,2022,Reading,500.85,2.117,True
NZL,New Zealand,2025,Reading,497.04,2.42,True
OECD,OECD average,2012,Reading,491.82,0.479,False
OECD,OECD average,2015,Reading,488.53,0.446,False
OECD,OECD average,2025,Reading,460.94,0.446,False
OECD23,OECD average (23 countries with data since 2000),2000,Reading,499.53,0.715,False
OECD23,OECD average (23 countries with data since 2000),2003,Reading,497.42,0.622,False
OECD23,OECD average (23 countries with data since 2000),2006,Reading,495.47,0.686,False
