year,geo,age_group,gender,level,pct
2004,Quebec,55–64,Men,College/CEGEP,12.0
2005,Quebec,55–64,Men,College/CEGEP,13.0
2006,Quebec,55–64,Men,College/CEGEP,15.0
2007,Quebec,55–64,Men,College/CEGEP,14.0
2008,Quebec,55–64,Men,College/CEGEP,15.0
2009,Quebec,55–64,Men,College/CEGEP,17.0
2010,Quebec,55–64,Men,College/CEGEP,17.0
2011,Quebec,55–64,Men,College/CEGEP,17.0
2012,Quebec,55–64,Men,College/CEGEP,19.0
2013,Quebec,55–64,Men,College/CEGEP,18.0
2014,Quebec,55–64,Men,College/CEGEP,19.0
2015,Quebec,55–64,Men,College/CEGEP,19.0
2016,Quebec,55–64,Men,College/CEGEP,19.0
2017,Quebec,55–64,Men,College/CEGEP,19.0
2018,Quebec,55–64,Men,College/CEGEP,21.0
2019,Quebec,55–64,Men,College/CEGEP,22.0
2020,Quebec,55–64,Men,College/CEGEP,21.0
2021,Quebec,55–64,Men,College/CEGEP,22.0
2022,Quebec,55–64,Men,College/CEGEP,22.0
2023,Quebec,55–64,Men,College/CEGEP,22.0
2024,Quebec,55–64,Men,College/CEGEP,22.0
2025,Quebec,55–64,Men,College/CEGEP,21.0
2000,Quebec,55–64,Men,High school,18.0
2001,Quebec,55–64,Men,High school,17.0
2002,Quebec,55–64,Men,High school,17.0
2003,Quebec,55–64,Men,High school,17.0
2004,Quebec,55–64,Men,High school,19.0
2005,Quebec,55–64,Men,High school,20.0
2006,Quebec,55–64,Men,High school,20.0
2007,Quebec,55–64,Men,High school,20.0
2008,Quebec,55–64,Men,High school,22.0
2009,Quebec,55–64,Men,High school,22.0
2010,Quebec,55–64,Men,High school,23.0
2011,Quebec,55–64,Men,High school,21.0
2012,Quebec,55–64,Men,High school,22.0
2013,Quebec,55–64,Men,High school,24.0
2014,Quebec,55–64,Men,High school,23.0
2015,Quebec,55–64,Men,High school,25.0
2016,Quebec,55–64,Men,High school,24.0
2017,Quebec,55–64,Men,High school,23.0
2018,Quebec,55–64,Men,High school,23.0
2019,Quebec,55–64,Men,High school,21.0
2020,Quebec,55–64,Men,High school,21.0
2021,Quebec,55–64,Men,High school,22.0
2022,Quebec,55–64,Men,High school,22.0
2023,Quebec,55–64,Men,High school,21.0
2024,Quebec,55–64,Men,High school,20.0
2025,Quebec,55–64,Men,High school,21.0
2000,Quebec,55–64,Men,Master's/Doctoral,7.0
2001,Quebec,55–64,Men,Master's/Doctoral,8.0
2002,Quebec,55–64,Men,Master's/Doctoral,8.0
2003,Quebec,55–64,Men,Master's/Doctoral,8.0
2004,Quebec,55–64,Men,Master's/Doctoral,9.0
2005,Quebec,55–64,Men,Master's/Doctoral,8.0
2006,Quebec,55–64,Men,Master's/Doctoral,7.0
2007,Quebec,55–64,Men,Master's/Doctoral,7.0
2008,Quebec,55–64,Men,Master's/Doctoral,7.0
2009,Quebec,55–64,Men,Master's/Doctoral,7.0
2010,Quebec,55–64,Men,Master's/Doctoral,7.0
2011,Quebec,55–64,Men,Master's/Doctoral,8.0
2012,Quebec,55–64,Men,Master's/Doctoral,8.0
2013,Quebec,55–64,Men,Master's/Doctoral,8.0
2014,Quebec,55–64,Men,Master's/Doctoral,8.0
2015,Quebec,55–64,Men,Master's/Doctoral,7.0
2016,Quebec,55–64,Men,Master's/Doctoral,7.0
2017,Quebec,55–64,Men,Master's/Doctoral,6.0
2018,Quebec,55–64,Men,Master's/Doctoral,7.0
2019,Quebec,55–64,Men,Master's/Doctoral,7.0
2020,Quebec,55–64,Men,Master's/Doctoral,7.0
2021,Quebec,55–64,Men,Master's/Doctoral,8.0
2022,Quebec,55–64,Men,Master's/Doctoral,8.0
2023,Quebec,55–64,Men,Master's/Doctoral,8.0
2024,Quebec,55–64,Men,Master's/Doctoral,9.0
2025,Quebec,55–64,Men,Master's/Doctoral,9.0
2000,Quebec,55–64,Men,Tertiary (all),25.0
2001,Quebec,55–64,Men,Tertiary (all),28.0
2002,Quebec,55–64,Men,Tertiary (all),29.0
2003,Quebec,55–64,Men,Tertiary (all),30.0
2004,Quebec,55–64,Men,Tertiary (all),31.0
2005,Quebec,55–64,Men,Tertiary (all),33.0
2006,Quebec,55–64,Men,Tertiary (all),33.0
2007,Quebec,55–64,Men,Tertiary (all),34.0
2008,Quebec,55–64,Men,Tertiary (all),36.0
2009,Quebec,55–64,Men,Tertiary (all),37.0
2010,Quebec,55–64,Men,Tertiary (all),36.0
2011,Quebec,55–64,Men,Tertiary (all),39.0
2012,Quebec,55–64,Men,Tertiary (all),40.0
2013,Quebec,55–64,Men,Tertiary (all),39.0
2014,Quebec,55–64,Men,Tertiary (all),40.0
2015,Quebec,55–64,Men,Tertiary (all),39.0
2016,Quebec,55–64,Men,Tertiary (all),38.0
2017,Quebec,55–64,Men,Tertiary (all),39.0
2018,Quebec,55–64,Men,Tertiary (all),41.0
2019,Quebec,55–64,Men,Tertiary (all),42.0
2020,Quebec,55–64,Men,Tertiary (all),42.0
2021,Quebec,55–64,Men,Tertiary (all),44.0
2022,Quebec,55–64,Men,Tertiary (all),45.0
2023,Quebec,55–64,Men,Tertiary (all),45.0
2024,Quebec,55–64,Men,Tertiary (all),47.0
2025,Quebec,55–64,Men,Tertiary (all),45.0
2000,Quebec,55–64,Men,Trades and other non-tertiary,14.0
