geo,geo_code,year,subject,score,se,caution,source
Manitoba,MB,2003,Reading,520,6.3,False,"CMEC PISA 2018 report, Table B.1.14a"
Manitoba,MB,2006,Reading,516,6.1,False,"CMEC PISA 2018 report, Table B.1.14a"
Manitoba,MB,2009,Reading,495,6.1,False,"CMEC PISA 2018 report, Table B.1.14a"
Manitoba,MB,2012,Reading,495,6.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Manitoba,MB,2015,Reading,498,8.4,False,"CMEC PISA 2018 report, Table B.1.14a"
Manitoba,MB,2018,Reading,494,5.3,False,"CMEC PISA 2018 report, Table B.1.14a"
Manitoba,MB,2022,Reading,486,4.1,True,"CMEC PISA 2022 report, Table 3.16"
Manitoba,MB,2025,Reading,477,3.3,True,"CMEC PISA 2025 report, Table 3.17"
New Brunswick,NB,2000,Reading,501,1.8,False,"CMEC PISA 2018 report, Table B.1.14a"
New Brunswick,NB,2003,Reading,503,5.6,False,"CMEC PISA 2018 report, Table B.1.14a"
New Brunswick,NB,2006,Reading,497,5.5,False,"CMEC PISA 2018 report, Table B.1.14a"
New Brunswick,NB,2009,Reading,499,5.5,False,"CMEC PISA 2018 report, Table B.1.14a"
New Brunswick,NB,2012,Reading,497,6.5,False,"CMEC PISA 2018 report, Table B.1.14a"
New Brunswick,NB,2015,Reading,505,8.6,False,"CMEC PISA 2018 report, Table B.1.14a"
New Brunswick,NB,2018,Reading,489,5.3,False,"CMEC PISA 2018 report, Table B.1.14a"
New Brunswick,NB,2022,Reading,469,4.3,False,"CMEC PISA 2022 report, Table 3.16"
New Brunswick,NB,2025,Reading,456,4.4,False,"CMEC PISA 2025 report, Table 3.17"
Newfoundland and Labrador,NL,2000,Reading,517,2.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Newfoundland and Labrador,NL,2003,Reading,521,6.2,False,"CMEC PISA 2018 report, Table B.1.14a"
Newfoundland and Labrador,NL,2006,Reading,514,5.9,False,"CMEC PISA 2018 report, Table B.1.14a"
Newfoundland and Labrador,NL,2009,Reading,506,6.1,False,"CMEC PISA 2018 report, Table B.1.14a"
Newfoundland and Labrador,NL,2012,Reading,503,7.0,False,"CMEC PISA 2018 report, Table B.1.14a"
Newfoundland and Labrador,NL,2015,Reading,505,7.6,False,"CMEC PISA 2018 report, Table B.1.14a"
Newfoundland and Labrador,NL,2018,Reading,512,5.9,False,"CMEC PISA 2018 report, Table B.1.14a"
Newfoundland and Labrador,NL,2022,Reading,478,7.2,True,"CMEC PISA 2022 report, Table 3.16"
Newfoundland and Labrador,NL,2025,Reading,471,5.1,True,"CMEC PISA 2025 report, Table 3.17"
Nova Scotia,NS,2000,Reading,521,2.3,False,"CMEC PISA 2018 report, Table B.1.14a"
Nova Scotia,NS,2003,Reading,513,5.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Nova Scotia,NS,2006,Reading,505,6.1,False,"CMEC PISA 2018 report, Table B.1.14a"
Nova Scotia,NS,2009,Reading,516,5.6,False,"CMEC PISA 2018 report, Table B.1.14a"
Nova Scotia,NS,2012,Reading,508,6.7,False,"CMEC PISA 2018 report, Table B.1.14a"
Nova Scotia,NS,2015,Reading,517,8.4,False,"CMEC PISA 2018 report, Table B.1.14a"
Nova Scotia,NS,2018,Reading,516,5.6,False,"CMEC PISA 2018 report, Table B.1.14a"
Nova Scotia,NS,2022,Reading,489,6.4,True,"CMEC PISA 2022 report, Table 3.16"
Nova Scotia,NS,2025,Reading,484,3.9,True,"CMEC PISA 2025 report, Table 3.17"
Ontario,ON,2000,Reading,533,3.3,False,"CMEC PISA 2018 report, Table B.1.14a"
Ontario,ON,2003,Reading,530,6.4,False,"CMEC PISA 2018 report, Table B.1.14a"
Ontario,ON,2006,Reading,534,6.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Ontario,ON,2009,Reading,531,5.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Ontario,ON,2012,Reading,528,7.4,False,"CMEC PISA 2018 report, Table B.1.14a"
Ontario,ON,2015,Reading,527,8.1,False,"CMEC PISA 2018 report, Table B.1.14a"
Ontario,ON,2018,Reading,524,5.4,False,"CMEC PISA 2018 report, Table B.1.14a"
Ontario,ON,2022,Reading,512,4.1,True,"CMEC PISA 2022 report, Table 3.16"
Ontario,ON,2025,Reading,494,3.5,True,"CMEC PISA 2025 report, Table 3.17"
Prince Edward Island,PE,2000,Reading,517,2.4,False,"CMEC PISA 2018 report, Table B.1.14a"
Prince Edward Island,PE,2003,Reading,495,5.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Prince Edward Island,PE,2006,Reading,497,5.7,False,"CMEC PISA 2018 report, Table B.1.14a"
Prince Edward Island,PE,2009,Reading,486,5.5,False,"CMEC PISA 2018 report, Table B.1.14a"
Prince Edward Island,PE,2012,Reading,490,6.5,False,"CMEC PISA 2018 report, Table B.1.14a"
Prince Edward Island,PE,2015,Reading,515,9.1,False,"CMEC PISA 2018 report, Table B.1.14a"
Prince Edward Island,PE,2018,Reading,503,9.2,False,"CMEC PISA 2018 report, Table B.1.14a"
Prince Edward Island,PE,2022,Reading,496,10.4,False,"CMEC PISA 2022 report, Table 3.16"
Prince Edward Island,PE,2025,Reading,467,7.1,False,"CMEC PISA 2025 report, Table 3.17"
Quebec,QC,2000,Reading,536,3.0,False,"CMEC PISA 2018 report, Table B.1.14a"
Quebec,QC,2003,Reading,525,6.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Quebec,QC,2006,Reading,522,7.1,False,"CMEC PISA 2018 report, Table B.1.14a"
Quebec,QC,2009,Reading,522,5.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Quebec,QC,2012,Reading,520,6.9,False,"CMEC PISA 2018 report, Table B.1.14a"
Quebec,QC,2015,Reading,532,8.3,False,"CMEC PISA 2018 report, Table B.1.14a"
Quebec,QC,2018,Reading,519,5.4,False,"CMEC PISA 2018 report, Table B.1.14a"
Quebec,QC,2022,Reading,501,4.9,True,"CMEC PISA 2022 report, Table 3.16"
Quebec,QC,2025,Reading,483,3.6,True,"CMEC PISA 2025 report, Table 3.17"
Saskatchewan,SK,2000,Reading,529,2.7,False,"CMEC PISA 2018 report, Table B.1.14a"
Saskatchewan,SK,2003,Reading,512,6.8,False,"CMEC PISA 2018 report, Table B.1.14a"
Saskatchewan,SK,2006,Reading,507,6.5,False,"CMEC PISA 2018 report, Table B.1.14a"
Saskatchewan,SK,2009,Reading,504,6.0,False,"CMEC PISA 2018 report, Table B.1.14a"
Saskatchewan,SK,2012,Reading,505,6.5,False,"CMEC PISA 2018 report, Table B.1.14a"
Saskatchewan,SK,2015,Reading,496,7.7,False,"CMEC PISA 2018 report, Table B.1.14a"
Saskatchewan,SK,2018,Reading,499,5.0,False,"CMEC PISA 2018 report, Table B.1.14a"
Saskatchewan,SK,2022,Reading,484,4.3,False,"CMEC PISA 2022 report, Table 3.16"
Saskatchewan,SK,2025,Reading,482,4.3,False,"CMEC PISA 2025 report, Table 3.17"
Alberta,AB,2006,Science,550,3.8,False,"CMEC PISA 2025 report, Table B.1.15a"
Alberta,AB,2009,Science,545,5.0,False,"CMEC PISA 2025 report, Table B.1.15a"
Alberta,AB,2012,Science,539,5.8,False,"CMEC PISA 2025 report, Table B.1.15a"
Alberta,AB,2015,Science,541,6.0,False,"CMEC PISA 2025 report, Table B.1.15a"
Alberta,AB,2018,Science,534,5.6,False,"CMEC PISA 2025 report, Table B.1.15a"
Alberta,AB,2022,Science,534,7.7,True,"CMEC PISA 2025 report, Table B.1.15a"
Alberta,AB,2025,Science,520,7.7,True,"CMEC PISA 2025 report, Table B.1.15a"
British Columbia,BC,2006,Science,539,4.7,False,"CMEC PISA 2025 report, Table B.1.15a"
British Columbia,BC,2009,Science,535,4.8,False,"CMEC PISA 2025 report, Table B.1.15a"
British Columbia,BC,2012,Science,544,5.3,False,"CMEC PISA 2025 report, Table B.1.15a"
British Columbia,BC,2015,Science,539,6.2,False,"CMEC PISA 2025 report, Table B.1.15a"
British Columbia,BC,2018,Science,517,6.4,False,"CMEC PISA 2025 report, Table B.1.15a"
British Columbia,BC,2022,Science,519,6.2,True,"CMEC PISA 2025 report, Table B.1.15a"
British Columbia,BC,2025,Science,510,7.9,True,"CMEC PISA 2025 report, Table B.1.15a"
Canada,CA,2006,Science,534,2.0,False,"CMEC PISA 2025 report, Table B.1.15a"
Canada,CA,2009,Science,529,3.0,False,"CMEC PISA 2025 report, Table B.1.15a"
Canada,CA,2012,Science,525,4.0,False,"CMEC PISA 2025 report, Table B.1.15a"
Canada,CA,2015,Science,528,4.9,False,"CMEC PISA 2025 report, Table B.1.15a"
Canada,CA,2018,Science,518,4.1,False,"CMEC PISA 2025 report, Table B.1.15a"
Canada,CA,2022,Science,515,4.2,True,"CMEC PISA 2025 report, Table B.1.15a"
Canada,CA,2025,Science,510,5.1,True,"CMEC PISA 2025 report, Table B.1.15a"
Manitoba,MB,2006,Science,523,3.2,False,"CMEC PISA 2025 report, Table B.1.15a"
Manitoba,MB,2009,Science,506,4.7,False,"CMEC PISA 2025 report, Table B.1.15a"
Manitoba,MB,2012,Science,503,4.8,False,"CMEC PISA 2025 report, Table B.1.15a"
Manitoba,MB,2015,Science,499,6.5,False,"CMEC PISA 2025 report, Table B.1.15a"
Manitoba,MB,2018,Science,489,5.0,False,"CMEC PISA 2025 report, Table B.1.15a"
Manitoba,MB,2022,Science,492,5.5,True,"CMEC PISA 2025 report, Table B.1.15a"
Manitoba,MB,2025,Science,494,5.5,True,"CMEC PISA 2025 report, Table B.1.15a"
New Brunswick,NB,2006,Science,506,2.3,False,"CMEC PISA 2025 report, Table B.1.15a"
New Brunswick,NB,2009,Science,501,3.5,False,"CMEC PISA 2025 report, Table B.1.15a"
New Brunswick,NB,2012,Science,507,4.4,False,"CMEC PISA 2025 report, Table B.1.15a"
New Brunswick,NB,2015,Science,506,6.3,False,"CMEC PISA 2025 report, Table B.1.15a"
New Brunswick,NB,2018,Science,492,6.7,False,"CMEC PISA 2025 report, Table B.1.15a"
New Brunswick,NB,2022,Science,483,5.6,False,"CMEC PISA 2025 report, Table B.1.15a"
New Brunswick,NB,2025,Science,474,5.7,False,"CMEC PISA 2025 report, Table B.1.15a"
