lat,lon,size_ha,province,cause,year
51.212,-116.6971,0.0,British Columbia,Other / unknown,2023
51.5613,-124.0789,0.0,British Columbia,Other / unknown,2023
50.2168,-117.5543,0.0,British Columbia,Other / unknown,2023
54.2221,-115.763,0.0,Alberta,Human,2023
49.6065,-117.2191,0.0,British Columbia,Other / unknown,2023
53.5804,-122.3054,0.0,British Columbia,Other / unknown,2023
54.4231,-117.7718,0.0,Alberta,Human,2023
54.0395,-124.5759,0.0,British Columbia,Other / unknown,2023
53.8042,-124.5474,0.0,British Columbia,Other / unknown,2023
58.1789,-116.3926,0.0,Alberta,Human,2023
58.6077,-117.1581,0.0,Alberta,Human,2023
55.0672,-127.2159,0.0,British Columbia,Other / unknown,2023
52.3533,-122.6352,0.0,British Columbia,Other / unknown,2023
54.0981,-115.6239,0.0,Alberta,Human,2023
50.2566,-125.8949,0.0,British Columbia,Other / unknown,2023
59.0187,-121.1252,0.0,British Columbia,Other / unknown,2023
55.7093,-126.2823,0.0,British Columbia,Other / unknown,2023
55.7265,-126.2961,0.0,British Columbia,Other / unknown,2023
53.6656,-116.0956,0.0,Alberta,Unknown,2023
50.5775,-116.185,0.0,British Columbia,Other / unknown,2023
52.4627,-119.1203,0.0,British Columbia,Other / unknown,2023
55.0347,-126.9477,0.0,British Columbia,Other / unknown,2023
55.1116,-127.4789,0.0,British Columbia,Other / unknown,2023
50.9584,-119.7926,0.0,British Columbia,Other / unknown,2023
50.7012,-120.1292,0.0,British Columbia,Other / unknown,2023
54.3832,-121.7915,0.0,British Columbia,Other / unknown,2023
52.7415,-119.2406,0.0,British Columbia,Other / unknown,2023
54.1714,-124.2498,0.0,British Columbia,Other / unknown,2023
50.1503,-115.7353,0.0,British Columbia,Other / unknown,2023
56.6055,-111.38,0.0,Alberta,Human,2023
55.0464,-111.3182,0.0,Alberta,Other / unknown,2023
55.7,-120.982,0.0,British Columbia,Other / unknown,2023
50.8191,-120.3978,0.0,British Columbia,Other / unknown,2023
52.4213,-122.0642,0.0,British Columbia,Other / unknown,2023
49.1527,-115.2354,0.0,British Columbia,Other / unknown,2023
54.7317,-126.7838,0.0,British Columbia,Other / unknown,2023
54.3158,-121.57,0.0,British Columbia,Other / unknown,2023
49.0754,-117.1644,0.0,British Columbia,Other / unknown,2023
49.3198,-118.9523,0.0,British Columbia,Other / unknown,2023
54.7434,-114.8647,0.0,Alberta,Other / unknown,2023
59.2162,-121.2437,0.0,British Columbia,Other / unknown,2023
55.5094,-119.5742,0.0,Alberta,Human,2023
50.8777,-119.9413,0.0,British Columbia,Other / unknown,2023
51.9752,-123.1493,0.0,British Columbia,Other / unknown,2023
52.0647,-118.4283,0.0,British Columbia,Other / unknown,2023
