dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name,population
24720081,7.4,0.0,0.0,2.7,0.0,2.7,0.0,0.0,0.0,0.0,0.0,89.4,3.2,StatCan area #24720081,940
24720082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.6,3.9,StatCan area #24720082,385
24720083,9.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.4,2.7,StatCan area #24720083,555
24720084,11.5,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.6,3.8,StatCan area #24720084,650
24720096,3.4,0.0,0.0,1.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,94.6,2.7,StatCan area #24720096,745
24720098,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,0.0,StatCan area #24720098,650
24720099,29.5,0.0,0.0,10.1,1.4,11.5,5.8,0.0,0.0,0.0,0.0,68.3,1.4,StatCan area #24720099,695
24720100,15.9,1.8,0.0,4.4,0.0,3.1,4.9,0.0,0.0,0.0,0.0,82.7,0.9,StatCan area #24720100,1130
24720101,6.5,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8,3.7,StatCan area #24720101,540
24720102,11.6,0.0,0.0,0.0,0.0,3.6,5.4,2.7,0.0,0.0,0.0,87.5,0.0,StatCan area #24720102,560
24720103,17.5,0.0,0.0,7.2,0.0,7.2,0.0,0.0,0.0,0.0,0.0,80.4,2.1,StatCan area #24720103,485
24720104,16.8,0.0,0.0,7.3,0.0,5.8,3.7,0.0,0.0,0.0,0.0,83.2,0.0,StatCan area #24720104,955
24720105,17.6,0.0,0.0,0.0,0.0,5.9,0.0,5.9,0.0,0.0,0.0,81.2,0.0,StatCan area #24720105,425
24720106,14.4,0.0,0.9,5.7,0.0,3.5,2.2,0.0,0.0,0.0,0.0,81.7,4.4,StatCan area #24720106,1145
24720108,12.4,0.0,0.0,5.7,0.0,3.6,0.0,0.0,0.0,0.0,0.0,84.5,2.1,StatCan area #24720108,965
24720109,21.2,0.0,0.0,6.4,0.0,0.0,5.1,0.0,0.0,0.0,0.0,76.3,2.6,StatCan area #24720109,780
24720110,4.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,95.5,0.0,StatCan area #24720110,440
24720111,13.4,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,86.6,0.0,StatCan area #24720111,595
24720112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24720112,305
24720113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1,0.0,StatCan area #24720113,405
24720114,7.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,92.5,0.0,StatCan area #24720114,400
24720115,12.2,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,86.5,0.0,StatCan area #24720115,370
24720116,17.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,80.9,2.1,StatCan area #24720116,470
24720117,10.8,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.9,0.0,StatCan area #24720117,790
24720118,22.4,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.6,0.0,StatCan area #24720118,380
24720119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,2.4,StatCan area #24720119,415
24720120,17.4,0.0,0.0,1.5,0.0,10.6,2.3,0.0,0.0,0.0,0.0,82.6,0.0,StatCan area #24720120,660
24720121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.1,0.0,StatCan area #24720121,530
24720122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0,StatCan area #24720122,480
24720149,9.2,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,90.8,0.0,StatCan area #24720149,600
24720150,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,0.0,StatCan area #24720150,510
24720151,19.5,0.0,0.0,7.1,0.0,0.0,5.3,0.0,0.0,0.0,0.0,79.6,0.0,StatCan area #24720151,565
24720152,8.1,1.2,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.9,StatCan area #24720152,800
24720154,5.6,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,2.2,StatCan area #24720154,445
24720157,4.8,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.9,3.3,StatCan area #24720157,1050
24720158,8.5,2.1,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,91.5,0.0,StatCan area #24720158,705
24720159,7.4,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7,2.9,StatCan area #24720159,680
24720160,4.3,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,93.2,2.5,StatCan area #24720160,805
24720161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,1.5,StatCan area #24720161,1010
24720162,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.9,5.6,StatCan area #24720162,445
24720163,4.1,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,95.9,0.0,StatCan area #24720163,485
24720164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24720164,415
24720165,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,3.8,StatCan area #24720165,665
24720166,7.9,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6,1.6,StatCan area #24720166,955
24720167,1.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,93.0,5.9,StatCan area #24720167,1355
24720168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,StatCan area #24720168,500
24720169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6,2.4,StatCan area #24720169,425
24720170,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8,3.1,StatCan area #24720170,490
24720171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.2,8.7,StatCan area #24720171,460
24720172,7.9,0.0,0.0,2.4,0.0,3.1,0.0,0.0,0.0,0.0,0.0,85.0,7.9,StatCan area #24720172,635
24720173,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,0.0,StatCan area #24720173,380
24720174,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,3.4,StatCan area #24720174,1620
24720175,4.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,94.7,2.0,StatCan area #24720175,750
24720176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24720176,660
24720177,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,2.7,StatCan area #24720177,370
24720178,9.4,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,91.7,0.0,StatCan area #24720178,480
24720179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.1,8.0,StatCan area #24720179,560
24720180,2.4,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,95.2,1.6,StatCan area #24720180,620
24720181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7,0.0,StatCan area #24720181,435
24720182,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,9.1,StatCan area #24720182,1205
24720183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4,17.6,StatCan area #24720183,595
24720185,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3,7.8,StatCan area #24720185,515
24720189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7,7.5,StatCan area #24720189,535
24720199,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,5.0,StatCan area #24720199,605
24720203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24720203,445
24720204,5.3,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,3.3,StatCan area #24720204,755
24720205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24720205,485
24720206,21.3,1.8,0.3,9.5,0.2,3.8,3.7,0.6,0.0,0.0,0.0,78.1,0.7,StatCan area #24720206,5240
24720207,13.2,0.7,0.7,3.6,0.0,5.5,1.1,0.6,0.6,0.0,0.0,85.2,1.5,StatCan area #24720207,5675
24720208,42.3,0.0,0.0,16.9,0.0,12.7,4.9,3.5,0.0,0.0,0.0,57.7,0.0,StatCan area #24720208,710
24720209,27.3,0.0,0.0,10.8,0.0,5.8,5.8,0.0,0.0,0.0,0.0,72.7,0.0,StatCan area #24720209,695
24720210,17.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,StatCan area #24720210,470
24720212,8.6,0.0,0.0,0.0,0.0,5.7,2.9,0.0,0.0,0.0,0.0,91.4,0.0,StatCan area #24720212,350
24720213,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,90.5,0.0,StatCan area #24720213,420
24720214,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,92.2,0.0,StatCan area #24720214,510
24720217,7.3,0.0,0.0,0.0,0.0,2.1,1.6,0.0,0.0,0.0,0.0,90.2,3.1,StatCan area #24720217,965
24720220,2.8,0.0,0.0,1.6,0.0,0.0,0.8,0.0,0.0,0.0,0.0,94.8,2.4,StatCan area #24720220,1245
24720221,8.2,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,89.3,2.5,StatCan area #24720221,610
24720275,5.9,0.0,1.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.1,3.0,StatCan area #24720275,845
24720276,13.8,0.0,0.0,8.6,0.0,0.0,5.2,0.0,0.0,0.0,0.0,81.0,5.2,StatCan area #24720276,290
24720277,8.6,0.0,0.0,3.4,0.0,5.2,0.0,0.0,0.0,0.0,0.0,87.9,3.4,StatCan area #24720277,290
24720278,29.7,0.0,0.0,7.7,0.0,4.4,0.0,14.3,0.0,0.0,0.0,70.3,0.0,StatCan area #24720278,455
24720279,14.6,0.0,4.5,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.5,0.0,StatCan area #24720279,445
24720280,30.3,11.2,0.0,0.0,0.0,5.6,0.0,0.0,6.7,0.0,0.0,69.7,0.0,StatCan area #24720280,445
24720281,26.4,0.0,0.0,6.4,0.0,6.4,0.0,0.0,0.0,0.0,0.0,74.5,0.0,StatCan area #24720281,550
24720282,17.2,0.0,0.0,7.8,0.0,7.8,0.0,0.0,0.0,0.0,0.0,81.9,0.0,StatCan area #24720282,580
24730013,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,0.0,StatCan area #24730013,660
24730014,3.8,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,96.2,0.0,StatCan area #24730014,660
24730015,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6,5.7,StatCan area #24730015,530
