ctuid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,population
4080104.00,4080104.00,1.0,0.2,0.1,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.0,96.2,2.8,6975
4080105.00,4080105.00,1.1,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.0,0.0,92.4,6.5,3085
4080106.00,4080106.00,1.6,0.0,0.0,0.5,0.0,0.8,0.3,0.0,0.0,0.0,0.0,93.8,4.8,3050
4080107.02,4080107.02,2.9,0.0,0.3,1.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,93.9,3.4,3130
4080107.04,4080107.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,7.0,925
4080107.05,4080107.05,1.5,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,94.5,3.8,3000
4080107.06,4080107.06,1.6,0.2,0.2,0.7,0.0,0.2,0.3,0.0,0.0,0.0,0.0,94.2,4.2,4825
4080108.00,4080108.00,3.9,0.0,0.0,2.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,91.6,4.5,1900
4080109.00,4080109.00,1.8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,93.5,4.7,1935
4080110.00,4080110.00,1.8,0.2,0.0,0.5,0.0,0.0,0.8,0.0,0.0,0.0,0.0,94.2,3.9,5350
4080111.03,4080111.03,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.6,3.4,1600
4080111.04,4080111.04,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,4.8,2515
4080120.01,4080120.01,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,4.7,3490
4080120.03,4080120.03,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,4.8,6350
4080120.04,4080120.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,3.8,1065
4080120.05,4080120.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,7.6,1310
4080130.00,4080130.00,1.4,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.1,2.5,4010
4080131.00,4080131.00,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,4.6,4535
4080132.00,4080132.00,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,95.4,4.1,3265
