ctuid,name,english,french,mandarin,punjabi,cantonese,spanish,arabic,tagalog,italian,vietnamese,portuguese,urdu,other,population
9330014.01,9330014.01,39.0,0.5,4.3,1.7,33.9,0.5,0.0,3.7,0.3,2.7,0.2,0.0,13.2,2935
9330014.02,9330014.02,39.1,0.0,4.0,1.5,32.9,1.1,0.0,3.5,0.4,3.7,0.4,0.1,13.3,5645
9330015.01,9330015.01,51.2,0.3,4.7,3.1,20.7,1.3,0.2,2.5,0.3,2.7,0.4,0.0,12.6,5680
9330015.02,9330015.02,47.4,0.3,4.3,2.9,23.1,0.8,0.0,4.7,0.2,2.7,0.4,0.1,13.1,6655
9330016.01,9330016.01,46.6,0.1,5.3,2.1,21.4,2.1,0.1,3.1,0.2,3.2,0.3,0.0,15.5,4955
9330016.04,9330016.04,52.0,0.1,3.4,2.4,12.3,1.7,0.1,7.2,0.3,3.0,1.0,0.2,16.3,7320
9330016.05,9330016.05,50.1,0.1,4.0,1.3,11.0,1.5,0.3,7.7,0.1,2.5,2.0,0.3,19.1,4860
9330016.06,9330016.06,50.8,0.4,8.3,0.4,11.5,1.5,0.2,3.0,0.1,1.6,2.5,0.1,19.6,6490
9330017.02,9330017.02,50.2,0.2,3.8,1.4,20.9,1.0,0.2,4.8,0.1,3.2,0.5,0.0,13.7,6590
9330017.03,9330017.03,46.1,0.3,3.5,1.8,24.5,1.6,0.2,3.4,0.5,3.5,1.0,0.0,13.6,4950
9330017.04,9330017.04,49.8,0.0,3.9,2.6,20.8,1.1,0.2,2.6,0.0,2.4,0.6,0.2,15.8,2690
9330018.01,9330018.01,46.5,0.2,3.0,1.8,24.4,1.2,0.1,4.6,0.4,4.0,0.6,0.1,13.1,7065
9330018.02,9330018.02,61.1,0.3,2.0,2.5,10.3,1.1,0.2,5.7,0.2,3.1,0.6,0.2,12.7,7115
9330019.00,9330019.00,70.0,0.5,5.5,0.4,8.4,0.9,0.2,2.2,0.3,1.1,0.4,0.0,10.1,5525
9330020.00,9330020.00,58.8,0.7,14.6,0.1,10.3,1.2,0.0,0.1,0.0,0.3,0.4,0.0,13.5,3700
9330021.00,9330021.00,68.5,0.6,18.0,0.3,4.8,0.1,0.1,0.1,0.0,0.3,0.0,0.0,7.2,3615
9330022.00,9330022.00,66.3,0.5,11.5,0.0,6.6,1.0,0.5,0.2,0.0,0.6,0.5,0.0,12.3,3100
9330023.00,9330023.00,69.9,0.2,14.8,0.1,5.9,0.5,0.0,0.0,0.0,0.1,0.1,0.0,8.4,4250
9330024.00,9330024.00,71.2,0.2,15.8,0.2,4.7,0.2,0.1,0.2,0.0,0.3,0.0,0.2,6.9,6005
9330025.00,9330025.00,70.7,0.6,15.7,0.0,3.5,0.6,0.1,0.1,0.0,0.3,0.1,0.0,8.3,7470
9330026.00,9330026.00,65.3,0.4,14.9,0.4,9.3,0.4,0.0,0.2,0.2,0.2,0.1,0.0,8.6,4790
9330027.01,9330027.01,55.0,0.1,22.3,0.0,9.2,0.5,0.1,0.0,0.2,0.0,0.2,0.0,12.4,4035
9330027.02,9330027.02,56.8,0.7,19.7,0.3,8.3,0.4,0.0,0.4,0.0,0.3,0.0,0.0,13.1,3475
9330028.00,9330028.00,67.3,0.2,15.7,0.5,5.8,0.8,0.0,0.3,0.0,0.3,0.2,0.0,8.9,3120
9330029.00,9330029.00,79.0,0.6,4.3,0.2,4.9,1.3,0.1,0.4,0.1,0.3,0.4,0.0,8.4,7205
9330030.00,9330030.00,77.2,0.8,2.5,0.8,6.8,0.5,0.3,1.6,0.1,0.6,0.3,0.1,8.4,7330
9330031.01,9330031.01,86.9,0.5,1.8,0.3,3.2,0.6,0.0,0.7,0.1,0.1,0.2,0.0,5.6,6150
9330031.02,9330031.02,76.9,0.5,0.8,0.7,7.7,0.8,0.0,2.7,0.2,1.9,0.1,0.0,7.7,4550
9330032.01,9330032.01,70.3,0.6,1.6,1.1,9.3,1.2,0.2,2.9,0.1,3.1,0.3,0.0,9.3,4630
9330032.02,9330032.02,73.8,0.6,1.4,0.4,8.4,1.2,0.2,2.2,0.0,3.5,0.8,0.0,7.5,5055
9330033.01,9330033.01,71.7,0.4,1.0,1.5,8.4,0.5,0.1,3.6,0.2,2.3,0.3,0.0,10.0,5000
9330033.02,9330033.02,56.1,0.7,1.8,1.2,18.3,0.5,0.0,5.0,0.2,3.4,0.5,0.0,12.3,2975
9330034.01,9330034.01,51.6,0.2,2.9,1.2,19.9,1.9,0.0,3.1,0.2,5.8,1.3,0.1,11.8,6100
9330034.02,9330034.02,63.1,0.4,1.6,0.5,14.8,1.3,0.3,2.3,0.3,4.0,0.4,0.0,11.0,7295
9330035.01,9330035.01,56.8,0.3,3.7,0.5,16.7,1.6,0.0,2.9,0.6,3.0,1.2,0.0,12.7,4315
9330035.02,9330035.02,60.0,0.1,2.8,0.4,15.2,1.1,0.2,1.6,0.9,4.2,0.9,0.1,12.5,6705
9330036.01,9330036.01,49.8,0.1,2.9,0.6,23.9,1.6,0.0,3.0,0.7,4.5,0.9,0.0,12.0,6120
9330036.02,9330036.02,55.2,0.1,3.0,1.5,18.1,1.0,0.0,2.8,0.6,4.8,0.7,0.0,12.2,6105
9330037.01,9330037.01,80.6,0.7,0.8,0.1,4.8,1.2,0.0,2.2,0.1,2.3,0.1,0.0,7.1,5015
9330037.02,9330037.02,78.1,1.6,0.9,0.1,6.2,1.4,0.0,1.9,0.0,0.9,0.6,0.0,8.3,3470
9330038.00,9330038.00,85.3,0.8,0.6,0.1,1.9,0.7,0.2,2.6,0.1,0.5,0.2,0.0,7.0,6615
9330039.01,9330039.01,90.0,1.0,1.2,0.2,0.6,0.6,0.2,0.7,0.1,0.0,0.1,0.0,5.3,6275
9330039.02,9330039.02,79.0,1.3,2.0,0.0,2.8,1.5,0.3,0.9,0.1,0.1,0.3,0.1,11.6,5525
9330040.01,9330040.01,86.2,1.1,1.6,0.2,0.8,1.0,0.5,0.2,0.2,0.0,0.4,0.1,7.7,4130
9330040.02,9330040.02,89.2,0.9,1.0,0.0,1.4,1.1,0.1,0.1,0.1,0.0,0.3,0.0,5.8,4485
9330041.01,9330041.01,88.2,0.7,0.9,0.1,0.7,1.5,0.1,0.1,0.0,0.0,0.6,0.0,7.1,4415
9330041.02,9330041.02,84.2,0.8,3.9,0.0,1.7,1.0,0.1,0.1,0.1,0.0,0.4,0.0,7.7,7990
9330042.00,9330042.00,82.1,0.8,5.8,0.1,1.8,0.8,0.0,0.2,0.3,0.2,0.1,0.1,7.7,6590
9330043.01,9330043.01,75.6,0.5,12.5,0.0,2.8,0.4,0.1,0.0,0.0,0.0,0.1,0.0,8.0,3955
9330043.02,9330043.02,71.5,0.8,15.2,0.2,2.8,0.5,0.2,0.0,0.0,0.0,0.3,0.0,8.5,4310
9330044.00,9330044.00,79.4,0.9,9.6,0.2,1.6,0.3,0.0,0.1,0.1,0.0,0.3,0.0,7.5,4620
