ctuid,name,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,population
5350550.02,5350550.02,54.7,24.6,9.5,7.7,1.5,0.5,0.5,0.0,0.9,7455
5350560.00,5350560.00,48.9,17.7,11.4,11.3,9.3,0.9,0.0,0.0,0.5,6480
5350561.00,5350561.00,48.9,18.1,7.0,11.7,11.3,2.7,0.0,0.0,0.3,6755
5350562.02,5350562.02,53.7,16.3,5.6,8.1,13.1,2.2,0.3,0.0,0.5,6515
5350562.03,5350562.03,52.6,18.8,3.1,10.0,13.7,1.2,0.0,0.0,0.7,5140
5350562.04,5350562.04,52.2,16.8,5.0,8.9,16.1,0.0,0.0,0.0,1.0,4615
5350562.05,5350562.05,53.9,17.1,10.8,11.8,4.4,1.2,0.3,0.0,0.5,5855
5350562.06,5350562.06,50.2,13.4,8.6,8.3,16.8,1.9,0.0,0.0,0.5,3205
5350562.07,5350562.07,49.2,15.3,9.3,7.6,16.3,1.7,0.0,0.0,0.3,4445
5350562.08,5350562.08,51.2,22.6,7.3,6.5,11.3,0.7,0.0,0.0,0.2,4205
5350562.09,5350562.09,59.1,19.8,4.9,8.4,6.2,1.0,0.0,0.0,0.5,4010
5350562.11,5350562.11,59.8,19.7,4.1,9.1,4.6,1.3,0.0,0.0,1.3,3175
5350562.12,5350562.12,49.2,13.7,13.6,19.2,2.4,0.6,0.2,0.0,1.1,7065
5350562.13,5350562.13,43.6,24.4,7.2,19.2,3.6,2.8,0.0,0.0,0.0,1250
5350562.14,5350562.14,45.8,10.0,10.0,12.8,20.3,1.0,0.0,0.0,0.0,3915
5350562.15,5350562.15,47.5,14.9,8.5,10.7,17.1,1.4,0.0,0.0,0.0,3600
5350563.01,5350563.01,43.2,10.5,16.1,17.7,11.3,0.3,0.0,0.0,0.8,6505
5350563.02,5350563.02,54.7,12.0,7.7,15.3,8.5,1.8,0.0,0.0,0.0,3005
5350564.01,5350564.01,48.7,19.9,6.2,9.0,8.5,2.1,0.0,0.0,5.1,2340
5350564.02,5350564.02,53.3,16.6,10.3,12.3,6.7,0.6,0.0,0.0,0.0,4890
5350570.01,5350570.01,59.1,19.6,6.4,9.4,2.8,1.9,0.5,0.0,0.3,3880
5350570.02,5350570.02,63.0,20.5,2.8,3.9,8.8,0.0,0.3,0.0,0.5,3685
5350571.01,5350571.01,55.1,20.3,8.9,8.1,4.7,1.5,0.0,0.0,0.9,3935
5350571.02,5350571.02,60.2,21.6,4.1,6.7,3.6,1.7,0.7,0.0,1.5,4030
5350572.01,5350572.01,55.8,23.7,4.0,7.1,8.5,0.4,0.0,0.0,0.5,7090
5350572.04,5350572.04,43.4,17.1,5.8,10.6,19.6,3.8,0.0,0.0,0.0,3165
5350572.05,5350572.05,42.8,14.4,10.3,22.0,7.6,2.6,0.0,0.0,0.2,6045
5350572.07,5350572.07,36.0,8.4,12.4,14.0,27.8,1.0,0.0,0.0,0.5,4550
5350572.08,5350572.08,20.8,9.1,7.7,23.7,37.7,0.6,0.0,0.0,0.0,5660
5350572.09,5350572.09,40.3,9.2,11.5,18.4,18.7,0.5,0.0,0.0,1.3,4615
5350572.10,5350572.10,38.7,8.3,5.5,18.6,27.0,1.7,0.0,0.0,0.0,3570
5350573.03,5350573.03,53.6,16.0,7.4,11.2,10.1,1.1,0.2,0.0,0.4,6180
5350573.05,5350573.05,50.9,13.8,9.7,9.9,14.5,0.5,0.0,0.0,0.4,5830
5350573.06,5350573.06,56.4,10.9,7.4,12.0,12.1,1.3,0.0,0.0,0.0,4680
5350573.07,5350573.07,58.9,21.8,3.3,8.3,6.2,0.9,0.0,0.0,0.4,6120
5350573.09,5350573.09,44.1,11.3,7.0,17.9,18.7,1.0,0.0,0.0,0.0,5935
5350573.10,5350573.10,40.5,15.3,7.9,14.0,20.1,2.1,0.0,0.0,0.0,3110
5350573.11,5350573.11,35.2,11.0,8.2,19.2,24.4,1.4,0.0,0.0,0.5,4995
5350574.00,5350574.00,58.0,26.7,3.8,6.4,3.3,0.3,0.3,0.0,1.3,6395
5350575.01,5350575.01,52.9,16.6,9.5,9.9,8.9,1.8,0.3,0.0,0.0,5985
5350575.02,5350575.02,56.5,19.3,6.5,10.0,6.8,0.5,0.0,0.0,0.4,4645
5350575.03,5350575.03,52.2,15.0,12.3,9.9,9.8,0.5,0.0,0.0,0.0,6600
5350575.04,5350575.04,56.6,20.9,5.3,7.8,8.0,1.1,0.0,0.0,0.2,6655
5350575.05,5350575.05,54.0,15.1,9.7,11.8,8.0,1.1,0.0,0.0,0.3,6805
5350575.07,5350575.07,29.7,9.4,8.3,34.6,16.6,0.6,0.0,0.0,0.0,3975
5350575.08,5350575.08,45.3,14.4,10.9,11.0,16.2,1.8,0.0,0.0,0.4,5660
5350576.04,5350576.04,55.0,20.5,5.3,9.9,7.6,1.7,0.0,0.0,0.0,4535
