name,province,Latitude,Longitude,elevation_m
Coquitlam Mountain,British Columbia,49.392777,-122.706944,1525.9
Mount Gallatin,British Columbia,56.754444,-131.901389,1524.6
Ddhaw NtlÊ¼ro,Yukon,63.483333,-135.363889,1521.8
Two Buttes,Yukon,63.483333,-135.363889,1521.8
Mount Morley,Yukon,60.0914933,-132.2007815,1519.5
Mount Whymper,British Columbia,48.951111,-124.162222,1507.3
Ptarmigan Mountain,Yukon,62.719444,-136.126389,1487.1
TezrÄ DdhÇw,Yukon,62.719444,-136.126389,1487.1
Pinder Peak,British Columbia,50.195,-126.93,1474.2
Australia Mountain,Yukon,63.6127778,-138.1302778,1470.0
Pioneer Peak,Nunavut,70.4597222,-70.8291667,1469.4
Mount Hooper,British Columbia,49.011667,-124.516945,1467.9
Mount Calder,British Columbia,49.887777,-123.986111,1460.2
Reindeer Mountain,Yukon,63.6111111,-139.3666667,1458.6
Mount Clark,Northwest Territories,64.416768,-124.2183877,1456.7
Mount Baker,Yukon,62.5702778,-140.1430556,1452.4
Cockscomb Mountain,Nunavut,70.516667,-70.533333,1448.7
Mount Merrill,Yukon,60.1258333,-124.7111111,1439.7
Packers Mountain,Yukon,61.8358708,-135.5258973,1438.7
Mount Gilliland,Yukon,60.2061111,-127.3427778,1438.3
Mount Fyfe,Yukon,65.2752778,-136.8633333,1438.3
Mount Pike,British Columbia,49.7225,-120.678334,1438.1
Conuma Peak,British Columbia,49.831389,-126.31,1434.4
Mount Tyrrell,Yukon,63.7147222,-140.0694444,1433.2
Narwhal Mountain,Nunavut,66.716667,-61.966667,1420.2
Crystal Peak,Nunavut,70.5333334,-70.9166667,1418.5
Pointed Mountain,Northwest Territories,60.3730539,-123.9144934,1403.4
Pyroxene Mountain,Yukon,63.021389,-138.351944,1374.8
Merry Widow Mountain,British Columbia,50.339444,-127.285,1363.1
Mount Martin,Yukon,60.1291667,-124.1480556,1356.0
Anticline Mountain,Yukon,61.3544444,-135.5919444,1352.5
Mount Eliot,Newfoundland and Labrador,59.1836111,-63.7991667,1349.1
Mount Grey,British Columbia,48.994722,-124.701389,1317.0
Mount Guemes,British Columbia,49.371389,-125.809444,1308.3
Mount Scriven,British Columbia,50.633056,-125.885556,1306.6
Mount Averil,British Columbia,54.414444,-122.426667,1299.6
Mount Hall,British Columbia,48.919723,-123.878889,1299.5
Mount Troubridge,British Columbia,49.812222,-124.168611,1279.5
Mont Jacques-Cartier,Quebec,48.987405,-65.948419,1275.5
Kingston Mountain,Yukon,61.2602778,-135.8983333,1262.3
Mont Jacques-Rousseau,Quebec,59.285127,-64.551655,1261.9
Mount Adami,Yukon,63.3150582,-138.0280843,1261.6
Tahsis Mountain,British Columbia,49.846111,-126.611111,1260.4
Shana Mountain,British Columbia,58.850278,-133.113611,1250.5
Mount Osborn,Yukon,65.7641667,-140.8372222,1249.9
Mount Elphinstone,British Columbia,49.463056,-123.529723,1245.0
Mount Turner,Yukon,65.3952778,-136.2147222,1242.7
Nahanni Mountain,Northwest Territories,62.0834183,-123.3349217,1238.8
Mount Stewart,Yukon,63.1780556,-139.3766667,1234.0
Mount Menzies,British Columbia,50.230556,-125.496944,1230.2
Kaouk Mountain,British Columbia,50.034167,-126.869167,1227.6
Mount Wolfenden,British Columbia,50.427222,-127.566389,1226.5
Volcano Mountain,Yukon,62.925,-137.3808334,1225.3
Towincut Mountain,British Columbia,48.8197222,-124.3955556,1224.7
Ice Chest Mountain,Yukon,63.5122222,-137.5452778,1185.8
Mont Gosford,Quebec,45.30165,-70.866935,1184.4
Mont Richardson,Quebec,48.927138,-66.015769,1181.8
Mount Bolduc,British Columbia,48.719167,-124.300833,1178.8
Sawmill Mountain,Northwest Territories,60.8000646,-123.668214,1170.9
Mont Raoul-Blanchard,Quebec,47.309452,-70.832516,1167.0
Mont Albert,Quebec,48.90225,-66.20415,1153.6
Mont Logan,Quebec,48.889908,-66.638724,1145.1
Edinburgh Mountain,British Columbia,48.647777,-124.412222,1121.8
Mount Modeste,British Columbia,48.636944,-124.110556,1111.6
Mont MÃ©gantic,Quebec,45.455775,-71.152744,1106.3
Mont Veyrier,Quebec,51.533071,-68.077166,1101.1
Mont FranÃ§ois-De Laval,Quebec,47.3838889,-71.2172222,1084.6
Bishops Mitre,Newfoundland and Labrador,57.8960498,-61.9830466,1067.5
Mont Blanc,Quebec,48.777477,-66.88688,1064.4
Mount Demers,British Columbia,48.609167,-124.082223,1063.3
Mount Kermode,British Columbia,52.956944,-131.858056,1052.3
Mount Albemarle,British Columbia,49.578611,-126.461389,1041.0
Mont GÃ©rard-Morisset,Quebec,47.196438,-71.017121,1039.4
Sommet de Chaillot,Quebec,47.8027778,-70.8727778,1038.3
Mont Ãlie,Quebec,47.916877,-70.361711,1036.6
Man O'War Peak,Newfoundland and Labrador,56.9686145,-61.6712729,1032.6
Sommet de Maurice,Quebec,47.796455,-70.861011,1022.7
Sommet de Cotonou,Quebec,47.781982,-70.821938,1022.3
Sommet de Dakar,Quebec,47.7808333,-70.8319444,1022.3
Mont Camille-Pouliot,Quebec,47.565,-71.239444,999.2
Mont Jean-Charles-Bonenfant,Quebec,47.673329,-71.241235,997.6
Wood Mountain,Saskatchewan,49.2333624,-106.5005936,995.4
Table Mountain,Northwest Territories,63.6348213,-123.4808486,987.0
Mont Saddle,Quebec,45.347633,-71.010688,976.9
Sommet de Paris,Quebec,47.767679,-70.832474,975.5
Sommet de QuÃ©bec,Quebec,47.76,-70.8352778,975.5
Mont du Lac des Cygnes,Quebec,47.665805,-70.60338,969.3
Mount Todd,British Columbia,48.615556,-123.935833,955.8
Mont Babel,Quebec,51.436716,-68.696019,954.8
Mont Louis-HÃ©mon,Quebec,47.603889,-71.217778,954.0
Mont FÃ©lix-Antoine-Savard,Quebec,47.898674,-70.494077,951.8
Pelican Mountain,Alberta,55.5911111,-113.6861111,940.3
La NoyÃ©e,Quebec,47.805075,-70.470629,939.0
Mont ValliÃ¨res-de-Saint-RÃ©al,Quebec,48.838569,-66.024335,937.1
Mont Tremblant,Quebec,46.249027,-74.559594,931.8
Mont Chauve,Quebec,48.832204,-66.269274,919.9
Mount Pinguksoak,Newfoundland and Labrador,58.4169445,-63.2491666,914.5
Mont D'Urban,Quebec,45.294983,-71.105291,912.5
Wienerwurst Mountain,Yukon,62.9130556,-140.9466667,910.0
Mount Dahadinni,Northwest Territories,63.6667344,-125.0017454,908.1
Mount Higgins,Yukon,66.1433333,-136.5444444,901.6
JÃ¹uk'an,Yukon,66.1433333,-136.5444444,901.6
Mont Nicol-Albert,Quebec,48.826896,-66.769496,894.9
Mont Sainte-CÃ©cile,Quebec,45.688594,-70.969335,889.3
Mount Shepherd,British Columbia,49.534722,-124.1875,879.9
Mount Thompson,Nunavut,81.25,-76.95,873.3
Mont Hereford,Quebec,45.082352,-71.600683,869.7
Mount Effie,Northwest Territories,65.9500673,-127.8519836,857.7
Mount Fitton,Yukon,68.4819444,-138.0383333,848.7
Mont Orford,Quebec,45.311927,-72.24168,847.6
Sawtooth Mountain,Nunavut,70.416667,-68.9,840.3
Baldy Mountain,Manitoba,51.468611,-100.72833,833.4
Mont Flat Top,Quebec,45.485774,-70.727679,827.1
Moose Mountain,Saskatchewan,49.7833527,-102.5838201,824.7
Morne de Saint-SÃ©bastien,Quebec,45.760241,-70.922171,821.9
Mount Davies Gilbert,Yukon,68.5163889,-136.7252778,815.6
Mount Carleton,New Brunswick,47.378002,-66.875906,806.7
Mount St. Hans,Nunavut,72.877778,-76.320833,806.0
Mont Alfred-DesRochers,Quebec,45.323979,-72.242894,803.3
Mont Sainte-Anne,Quebec,47.088013,-70.932216,802.6
Mont Laure-Gaudreault,Quebec,48.132085,-70.296913,794.2
Mount Watt,Alberta,58.6472223,-117.5058333,793.5
Mont Victor-Tremblay,Quebec,48.639277,-70.897469,791.8
Mont Adagio,Quebec,47.210556,-71.4175,789.0
Mount Haywood,Northwest Territories,63.7500666,-125.051755,779.1
Nalaisk Mountain,New Brunswick,47.200024,-66.752387,776.9
Mont Sir-Wilfrid,Quebec,46.690241,-75.594788,775.7
Tower Mountain,Newfoundland and Labrador,59.3336111,-64.1325,768.7
Wilkinson Mountain,New Brunswick,47.113017,-66.742069,765.5
Mont des Ãboulements,Quebec,47.5297222,-70.2955556,765.2
Mount Bolton,Nunavut,78.333333,-75.25,760.5
Mont Fernand-Seguin,Quebec,48.960763,-66.192088,759.0
Mount Camsell,Northwest Territories,62.2500853,-123.4849254,753.7
Bellevue Mountain,Nunavut,72.416667,-81.45,753.3
Mont Owl's Head,Quebec,45.062161,-72.297913,743.5
Mont Haywood,Quebec,58.594444,-64.2125,740.3
Montagne Nesue'g,Quebec,48.658861,-65.593635,740.0
Riding Mountain,Manitoba,50.6975,-99.636944,738.8
Duck Mountain,Manitoba,51.583333,-101.0,734.3
Mount Benedict,Newfoundland and Labrador,54.734718,-58.513762,733.6
Mont Grand Fonds,Quebec,47.768982,-70.080185,732.4
Mont Gabrielle-Roy,Quebec,47.377277,-70.579279,717.0
Mont Foster,Quebec,45.230054,-72.397991,710.8
Le Pinacle,Quebec,45.046533,-72.739071,706.6
Mont Adstock,Quebec,46.029724,-71.205033,705.0
North Arm Mountain,Newfoundland and Labrador,49.2475,-57.9902778,701.2
Turtle Mountain,Manitoba,49.000556,-100.2475,695.7
Mont Sainte-Marguerite,Quebec,46.335683,-71.141333,689.3
Big Bald Mountain,New Brunswick,47.195125,-66.423284,671.1
Mount Acquin,New Brunswick,47.345753,-66.462881,662.9
Ogidaki Mountain,Ontario,46.99211,-83.98367,661.7
Pic Bald,Quebec,45.57146,-71.678979,653.3
Mont Chapman,Quebec,45.571468,-71.678879,653.3
GÃ¨egookâyuu,Yukon,67.526,-138.414,644.1
Maple Mountain,Ontario,47.39745,-80.33791,638.1
Duck Mountain,Saskatchewan,51.6333254,-101.6337954,636.4
Camel Back Mountain,New Brunswick,47.531878,-66.394785,635.3
Tip Top Mountain,Ontario,48.27341,-86.00377,633.8
Bald Peak,New Brunswick,47.173073,-67.108439,627.6
Mount Conybeare,Yukon,69.4932867,-140.1185534,622.7
Batchawana Mountain,Ontario,47.06517,-84.41087,621.0
Mont du GÃ©nÃ©ral-Allard,Quebec,47.014336,-71.586013,616.9
Mont Cummings,Quebec,49.9580556,-74.2022222,603.8
Grizzly Bear Mountain,Northwest Territories,65.3335077,-121.0016393,599.7
Mont Bernecher,Quebec,48.264466,-73.869102,594.5
Lower Blue Mountain,New Brunswick,47.068068,-67.224979,592.1
Stanley Mountain,New Brunswick,46.884243,-67.046035,588.8
Table Mountain,Newfoundland and Labrador,47.711177,-59.223779,580.9
Mont ÃlÃ©phant,Quebec,46.229393,-74.480479,580.1
