ctuid,name,median_income
8250009.00,0009.00 - Calgary,67000.0
8250010.00,0010.00 - Calgary,58800.0
8250011.00,0011.00 - Calgary,103000.0
8250012.00,0012.00 - Calgary,83000.0
8250013.00,0013.00 - Calgary,65500.0
8250014.00,0014.00 - Calgary,136000.0
8250015.00,0015.00 - Calgary,136000.0
8250016.00,0016.00 - Calgary,101000.0
8250017.01,0017.01 - Calgary,83000.0
8250017.03,0017.03 - Calgary,67000.0
8250017.04,0017.04 - Calgary,103000.0
8250017.05,0017.05 - Calgary,117000.0
8250017.06,0017.06 - Calgary,137000.0
8250018.01,0018.01 - Calgary,90000.0
8250018.02,0018.02 - Calgary,80000.0
8250019.00,0019.00 - Calgary,89000.0
8250020.00,0020.00 - Calgary,97000.0
8250021.01,0021.01 - Calgary,105000.0
8250021.02,0021.02 - Calgary,111000.0
8250022.01,0022.01 - Calgary,121000.0
8250022.02,0022.02 - Calgary,74500.0
8250023.00,0023.00 - Calgary,212000.0
8250024.00,0024.00 - Calgary,99000.0
8250025.00,0025.00 - Calgary,87000.0
8250026.00,0026.00 - Calgary,56000.0
8250027.01,0027.01 - Calgary,57600.0
8250027.02,0027.02 - Calgary,131000.0
8250027.03,0027.03 - Calgary,62000.0
8250028.00,0028.00 - Calgary,228000.0
8250029.00,0029.00 - Calgary,83000.0
8250030.00,0030.00 - Calgary,77000.0
8250031.01,0031.01 - Calgary,76000.0
8250031.02,0031.02 - Calgary,70000.0
8250032.00,0032.00 - Calgary,90000.0
8250033.01,0033.01 - Calgary,78000.0
8250033.02,0033.02 - Calgary,74000.0
8250034.00,0034.00 - Calgary,92000.0
8250035.01,0035.01 - Calgary,67000.0
8250035.02,0035.02 - Calgary,69000.0
8250036.01,0036.01 - Calgary,73000.0
8250036.02,0036.02 - Calgary,62000.0
8250037.00,0037.00 - Calgary,57600.0
8250038.02,0038.02 - Calgary,81000.0
8250038.03,0038.03 - Calgary,75500.0
8250038.04,0038.04 - Calgary,79000.0
8250038.05,0038.05 - Calgary,76500.0
8250038.06,0038.06 - Calgary,82000.0
8250038.07,0038.07 - Calgary,82000.0
8250038.08,0038.08 - Calgary,84000.0
8250038.10,0038.10 - Calgary,88000.0
8250038.11,0038.11 - Calgary,80000.0
8250038.12,0038.12 - Calgary,75000.0
8250038.13,0038.13 - Calgary,88000.0
8250038.14,0038.14 - Calgary,83000.0
8250038.15,0038.15 - Calgary,88000.0
8250038.17,0038.17 - Calgary,81000.0
8250038.18,0038.18 - Calgary,87000.0
8250038.20,0038.20 - Calgary,87000.0
8250038.21,0038.21 - Calgary,65000.0
8250038.22,0038.22 - Calgary,92000.0
8250038.23,0038.23 - Calgary,73500.0
8250038.24,0038.24 - Calgary,98000.0
8250038.25,0038.25 - Calgary,90000.0
8250038.27,0038.27 - Calgary,122000.0
8250038.28,0038.28 - Calgary,81000.0
8250038.30,0038.30 - Calgary,95000.0
