year,dimension,category,employees
2017,Region,Quebec (minus the NCR),28720
2017,Region,Saskatchewan,5814
2017,Region,Unknown,6537
2017,Region,Yukon,346
2018,Region,Alberta,15116
2018,Region,British Columbia,22911
2018,Region,Manitoba,10854
2018,Region,National Capital Region (NCR),113028
2018,Region,New Brunswick,9032
2018,Region,Newfoundland and Labrador,5348
2018,Region,Northwest Territories,483
2018,Region,Nova Scotia,10244
2018,Region,Nunavut,288
2018,Region,Ontario (minus the NCR),38383
2018,Region,Outside of Canada,1367
2018,Region,Prince Edward Island,3201
2018,Region,Quebec (minus the NCR),29719
2018,Region,Saskatchewan,5796
2018,Region,Unknown,7416
2018,Region,Yukon,385
2019,Region,Alberta,15559
2019,Region,British Columbia,23890
2019,Region,Manitoba,11366
2019,Region,National Capital Region (NCR),121230
2019,Region,New Brunswick,9638
2019,Region,Newfoundland and Labrador,5438
2019,Region,Northwest Territories,506
2019,Region,Nova Scotia,10880
2019,Region,Nunavut,296
2019,Region,Ontario (minus the NCR),39619
2019,Region,Outside of Canada,1413
2019,Region,Prince Edward Island,3580
2019,Region,Quebec (minus the NCR),30827
2019,Region,Saskatchewan,5921
2019,Region,Unknown,7422
2019,Region,Yukon,398
2020,Region,Alberta,16088
2020,Region,British Columbia,24750
2020,Region,Manitoba,11625
2020,Region,National Capital Region (NCR),127092
2020,Region,New Brunswick,10129
2020,Region,Newfoundland and Labrador,5730
2020,Region,Northwest Territories,515
2020,Region,Nova Scotia,11148
2020,Region,Nunavut,317
2020,Region,Ontario (minus the NCR),41092
2020,Region,Outside of Canada,1492
2020,Region,Prince Edward Island,3667
2020,Region,Quebec (minus the NCR),31767
2020,Region,Saskatchewan,6088
2020,Region,Unknown,8530
2020,Region,Yukon,420
2021,Region,Alberta,17511
2021,Region,British Columbia,26464
2021,Region,Manitoba,12156
2021,Region,National Capital Region (NCR),134817
2021,Region,New Brunswick,10881
2021,Region,Newfoundland and Labrador,6852
2021,Region,Northwest Territories,571
2021,Region,Nova Scotia,11806
2021,Region,Nunavut,334
2021,Region,Ontario (minus the NCR),43503
2021,Region,Outside of Canada,1323
2021,Region,Prince Edward Island,3888
2021,Region,Quebec (minus the NCR),33981
2021,Region,Saskatchewan,6242
2021,Region,Unknown,8845
2021,Region,Yukon,427
2022,Region,Alberta,18424
2022,Region,British Columbia,27641
2022,Region,Manitoba,13065
2022,Region,National Capital Region (NCR),141747
2022,Region,New Brunswick,11720
2022,Region,Newfoundland and Labrador,7745
2022,Region,Northwest Territories,575
2022,Region,Nova Scotia,12181
2022,Region,Nunavut,353
2022,Region,Ontario (minus the NCR),45048
2022,Region,Outside of Canada,1478
2022,Region,Prince Edward Island,4010
2022,Region,Quebec (minus the NCR),36298
2022,Region,Saskatchewan,6328
2022,Region,Unknown,8911
2022,Region,Yukon,433
2023,Region,Alberta,19479
2023,Region,British Columbia,29257
2023,Region,Manitoba,13403
2023,Region,National Capital Region (NCR),151936
2023,Region,New Brunswick,12431
2023,Region,Newfoundland and Labrador,7852
2023,Region,Northwest Territories,596
2023,Region,Nova Scotia,13005
2023,Region,Nunavut,366
2023,Region,Ontario (minus the NCR),48749
2023,Region,Outside of Canada,1540
2023,Region,Prince Edward Island,4292
2023,Region,Quebec (minus the NCR),38910
2023,Region,Saskatchewan,6597
2023,Region,Unknown,8357
2023,Region,Yukon,477
2024,Region,Alberta,19602
