year,sector,employment
2020,"Forestry, fishing, mining, quarrying, oil and gas",7200.0
2020,Health care and social assistance,1104400.0
2020,"Information, culture and recreation",89300.0
2020,Manufacturing,2800.0
2020,"Professional, scientific and technical services",12100.0
2020,Public administration,996000.0
2020,Transportation and warehousing,159000.0
2020,Utilities,119300.0
2020,Wholesale and retail trade,22500.0
2021,"Business, building and other support services",12500.0
2021,Construction,19800.0
2021,Educational services,1257900.0
2021,"Finance, insurance, real estate, rental and leasing",67900.0
2021,"Forestry, fishing, mining, quarrying, oil and gas",6300.0
2021,Health care and social assistance,1174900.0
2021,"Information, culture and recreation",83700.0
2021,Manufacturing,2100.0
2021,"Professional, scientific and technical services",11900.0
2021,Public administration,1074600.0
2021,Transportation and warehousing,165700.0
2021,Utilities,126300.0
2021,Wholesale and retail trade,24900.0
2022,Accommodation and food services,2300.0
2022,"Business, building and other support services",11400.0
2022,Construction,19800.0
2022,Educational services,1267600.0
2022,"Finance, insurance, real estate, rental and leasing",64300.0
2022,"Forestry, fishing, mining, quarrying, oil and gas",8000.0
2022,Health care and social assistance,1225700.0
2022,"Information, culture and recreation",109400.0
2022,Manufacturing,3700.0
2022,"Professional, scientific and technical services",16100.0
2022,Public administration,1139300.0
2022,Transportation and warehousing,175900.0
2022,Utilities,129300.0
2022,Wholesale and retail trade,30700.0
2023,Accommodation and food services,3300.0
2023,"Business, building and other support services",9900.0
2023,Construction,15200.0
2023,Educational services,1269400.0
2023,"Finance, insurance, real estate, rental and leasing",64600.0
2023,"Forestry, fishing, mining, quarrying, oil and gas",6800.0
2023,Health care and social assistance,1253200.0
2023,"Information, culture and recreation",122700.0
2023,Manufacturing,3400.0
2023,"Professional, scientific and technical services",15300.0
2023,Public administration,1184500.0
2023,Transportation and warehousing,196400.0
2023,Utilities,130600.0
2023,Wholesale and retail trade,27800.0
2024,Accommodation and food services,3900.0
2024,"Business, building and other support services",12600.0
2024,Construction,17900.0
2024,Educational services,1318200.0
2024,"Finance, insurance, real estate, rental and leasing",66100.0
2024,"Forestry, fishing, mining, quarrying, oil and gas",6900.0
2024,Health care and social assistance,1316800.0
2024,"Information, culture and recreation",130200.0
2024,Manufacturing,2300.0
2024,"Professional, scientific and technical services",15000.0
2024,Public administration,1224400.0
