province,year,expense,net_op_balance,revenue,net_fin_worth,gdp,revenue_pct_gdp,expense_pct_gdp,balance_pct_gdp,net_debt_pct_gdp
Manitoba,2008,11983.0,120.0,12103.0,-10249.0,52207.0,23.182714961595188,22.95286072748865,0.22985423410653744,19.631467044649185
Manitoba,2009,12461.0,-579.0,11882.0,-10502.0,50853.0,23.365386506204157,24.50396240143158,-1.13857589522742,20.651682299962637
Manitoba,2010,12978.0,-535.0,12443.0,-11769.0,53359.0,23.319402537528813,24.32204501583613,-1.0026424783073145,22.056260424670626
Manitoba,2011,14438.0,-1230.0,13208.0,-14621.0,56252.0,23.480054042522934,25.66664296380573,-2.186588921282799,25.99196473014293
Manitoba,2012,14118.0,-831.0,13287.0,-16141.0,59848.0,22.20124314931159,23.58976072717551,-1.3885175778639218,26.969990642962173
Manitoba,2013,14757.0,-876.0,13880.0,-16286.0,62386.0,22.248581412496392,23.65434552623986,-1.4041611900105793,26.105215913826818
Manitoba,2014,14959.0,-970.0,13989.0,-20215.0,64305.0,21.754140424539305,23.2625767825208,-1.5084363579814943,31.436124718140114
Manitoba,2015,15595.0,-1265.0,14330.0,-21078.0,65943.0,21.73088879790122,23.64921219841378,-1.918323400512564,31.96396888221646
Manitoba,2016,16011.0,-890.0,15121.0,-20968.0,67298.0,22.468721210139975,23.79119736099141,-1.3224761508514369,31.1569437427561
Manitoba,2017,16292.0,-1039.0,15252.0,-22202.0,71285.0,21.395805569194078,22.85473802342709,-1.4575296345654767,31.14540225853967
Manitoba,2018,16415.0,-142.0,16273.0,-23934.0,73372.0,22.178760290028894,22.372294608297445,-0.19353431826854933,32.62007305239056
Manitoba,2019,16880.0,-18.0,16862.0,-25035.0,74626.0,22.59534210596843,22.619462385763676,-0.024120279795245624,33.54728914855412
Manitoba,2020,18228.0,-1141.0,17088.0,-25784.0,72963.0,23.420089634472266,24.98252538958102,-1.5638063127886737,35.33845921905623
Manitoba,2021,18791.0,20.0,18811.0,-21974.0,79281.0,23.726996379964934,23.701769654772264,0.025226725192669112,27.716602969185555
Manitoba,2022,20180.0,-378.0,19802.0,-19791.0,88262.0,22.43547619587138,22.863746572703995,-0.42827037683261204,22.42301330130747
Manitoba,2023,22236.0,-1676.0,20560.0,-20960.0,93045.0,22.09683486485034,23.898113815895535,-1.8012789510451932,22.526734375839645
Manitoba,2024,23529.0,-1677.0,21852.0,-25275.0,96125.0,22.73289986996099,24.477503250975293,-1.7446033810143042,26.293888166449936
New Brunswick,2008,8014.0,-558.0,7456.0,-5823.0,28842.0,25.851189237916927,27.78586783163442,-1.9346785937174955,20.189307260245474
New Brunswick,2009,8385.0,-917.0,7468.0,-6805.0,28914.0,25.828318461644876,28.999792488068067,-3.1714740264231858,23.535311613751126
New Brunswick,2010,8735.0,-949.0,7786.0,-7924.0,30269.0,25.722686577026,28.857907430043937,-3.1352208530179393,26.17859856618983
New Brunswick,2011,8739.0,-768.0,7971.0,-9100.0,31561.0,25.25585374354425,27.689236716200373,-2.4333829726561262,28.83305345204524
New Brunswick,2012,8924.0,-842.0,8082.0,-9780.0,31797.0,25.417492216246817,28.065540774286884,-2.648048558040067,30.75761864326823
New Brunswick,2013,9016.0,-1079.0,7938.0,-9607.0,31891.0,24.891035088269415,28.2712991126023,-3.3833997052459943,30.124486532250476
New Brunswick,2014,9456.0,-1010.0,8446.0,-11378.0,32462.0,26.01811348653811,29.12944365719919,-3.1113301706610805,35.05021255621958
New Brunswick,2015,9440.0,-926.0,8514.0,-11032.0,33453.0,25.450632230293245,28.21869488536155,-2.768062655068305,32.97761037874032
New Brunswick,2016,9784.0,-758.0,9026.0,-11158.0,34330.0,26.291872997378384,28.499854354791726,-2.207981357413341,32.50218467812409
New Brunswick,2017,10214.0,-693.0,9522.0,-11081.0,35828.0,26.576978899184994,28.508429161549625,-1.9342413754605337,30.928324215697224
New Brunswick,2018,10540.0,-535.0,10005.0,-11439.0,37158.0,26.9255611173906,28.365358738360513,-1.4397976209699122,30.784756983691263
New Brunswick,2019,10894.0,-736.0,10158.0,-12485.0,38057.0,26.69154163491605,28.625482828388993,-1.9339411934729485,32.80605407677957
New Brunswick,2020,10595.0,-96.0,10499.0,-11417.0,37354.0,28.106762327997004,28.363762916956688,-0.25700058895968303,30.564330459923973
New Brunswick,2021,10856.0,655.0,11511.0,-8591.0,41290.0,27.87842092516348,26.292080406878178,1.586340518285299,20.806490675708403
New Brunswick,2022,11500.0,1199.0,12700.0,-6391.0,44913.0,28.276890877919534,25.605058668982256,2.6696056820964977,14.22973303943179
New Brunswick,2023,12499.0,777.0,13275.0,-5177.0,46463.0,28.57112110711749,26.90097496933043,1.672298387964617,11.142199169231432
New Brunswick,2024,13056.0,561.0,13617.0,-6380.0,48302.0,28.191379238954912,27.029936648585977,1.1614425903689287,13.208562792430955
Newfoundland and Labrador,2008,6409.0,865.0,7274.0,-6126.0,31595.0,23.022630163000475,20.284855198607374,2.7377749643931004,19.389143851875296
Newfoundland and Labrador,2009,7351.0,-215.0,7136.0,-5688.0,25022.0,28.518903365038767,29.378147230437214,-0.8592438653984494,22.731995843657582
Newfoundland and Labrador,2010,7605.0,351.0,7957.0,-5452.0,29107.0,27.337066684989864,26.127735596248325,1.205895489057615,18.73088947675817
Newfoundland and Labrador,2011,7928.0,501.0,8429.0,-5157.0,33562.0,25.114713068351115,23.62195339967821,1.4927596686729039,15.3655920386151
Newfoundland and Labrador,2012,7981.0,-679.0,7302.0,-5648.0,32063.0,22.77391385709385,24.891619623865516,-2.1177057667716683,17.61531983906684
Newfoundland and Labrador,2013,7990.0,-780.0,7211.0,-5651.0,34491.0,20.90690325012322,23.165463454234438,-2.2614595111768288,16.383984227769563
Newfoundland and Labrador,2014,7963.0,-1415.0,6547.0,-6639.0,34301.0,19.086907087256932,23.21506661613364,-4.125244161977784,19.35512084195796
Newfoundland and Labrador,2015,8176.0,-2396.0,5780.0,-7837.0,31161.0,18.54882705946536,26.237925612143385,-7.689098552678026,25.150027277686853
Newfoundland and Labrador,2016,8402.0,-1411.0,6991.0,-8802.0,31519.0,22.180272216758144,26.656937085567435,-4.47666486880929,27.926012881119327
Newfoundland and Labrador,2017,8249.0,-1618.0,6631.0,-9679.0,33690.0,19.682398337785692,24.485010388839417,-4.802612051053725,28.729593351142775
Newfoundland and Labrador,2018,8316.0,-933.0,7383.0,-10605.0,34589.0,21.344936251409408,24.04232559484229,-2.6973893434328833,30.66003642776605
Newfoundland and Labrador,2019,8488.0,703.0,9191.0,-9973.0,35819.0,25.659566152042213,23.696920628716605,1.9626455233256093,27.842765012981936
Newfoundland and Labrador,2020,8536.0,-1804.0,6732.0,-10399.0,32176.0,20.922426653406266,26.529090004972648,-5.606663351566385,32.31911984087519
Newfoundland and Labrador,2021,8638.0,-347.0,8291.0,-9456.0,38678.0,21.435958425978594,22.333109261078647,-0.8971508351000569,24.448006618749677
Newfoundland and Labrador,2022,9708.0,-370.0,9337.0,-8335.0,42036.0,22.211913597868495,23.094490436768485,-0.8801979255875916,19.828242458844798
Newfoundland and Labrador,2023,9735.0,-825.0,8910.0,-8162.0,40363.0,22.074672348437925,24.118623491811807,-2.043951143373882,20.221489978445607
Newfoundland and Labrador,2024,9710.0,-312.0,9398.0,-10173.0,42219.0,22.260119851251805,22.99912361732869,-0.7390037660768848,24.09578625737227
Nova Scotia,2008,9210.0,-336.0,8874.0,-10296.0,35490.0,25.00422654268808,25.95097210481826,-0.9467455621301776,29.010989010989015
Nova Scotia,2009,9501.0,-669.0,8832.0,-10968.0,35005.0,25.230681331238397,27.141836880445652,-1.9111555492072563,31.332666761891158
Nova Scotia,2010,9378.0,63.0,9441.0,-11104.0,36921.0,25.570813358251403,25.400178760055255,0.17063459819614854,30.075025053492592
Nova Scotia,2011,9926.0,-558.0,9368.0,-11987.0,37731.0,24.82839044817259,26.307280485542396,-1.478890037369802,31.769632397763115
Nova Scotia,2012,10272.0,-510.0,9762.0,-12569.0,37933.0,25.734848285134316,27.079324071389028,-1.3444757862547123,33.134737563598975
Nova Scotia,2013,10140.0,-501.0,9639.0,-13394.0,38725.0,24.890897353131052,26.18463524854745,-1.2937378954163976,34.5874757908328
Nova Scotia,2014,10587.0,-303.0,10284.0,-14427.0,39838.0,25.814548923138712,26.575129273557906,-0.7605803504191978,36.214167377880415
Nova Scotia,2015,10591.0,-111.0,10480.0,-13217.0,40701.0,25.74875310188939,26.021473673865508,-0.2727205719761185,32.4734036018771
Nova Scotia,2016,10765.0,24.0,10789.0,-12829.0,41599.0,25.935719608644437,25.878025914084475,0.05769369455996538,30.839683646241493
Nova Scotia,2017,11454.0,102.0,11555.0,-12605.0,43314.0,26.677286789490694,26.444105831832665,0.23548968001108186,29.10144526019301
Nova Scotia,2018,11494.0,-57.0,11437.0,-13152.0,44875.0,25.48635097493036,25.613370473537607,-0.12701949860724235,29.30807799442897
Nova Scotia,2019,12137.0,-101.0,12036.0,-13501.0,46834.0,25.699278302088224,25.91493359525131,-0.21565529316308665,28.827347653414186
Nova Scotia,2020,12637.0,-463.0,12174.0,-12534.0,46165.0,26.37062709845121,27.373551391746993,-1.0029242932957867,27.150438643994367
Nova Scotia,2021,14087.0,-169.0,13918.0,-12204.0,51385.0,27.085725406246958,27.41461516006617,-0.32888975381920793,23.750121630826115
Nova Scotia,2022,15030.0,235.0,15265.0,-11738.0,56228.0,27.148395817030664,26.730454577790425,0.4179412392402362,20.87572028171018
Nova Scotia,2023,16003.0,164.0,16168.0,-12395.0,60487.0,26.72971051630929,26.456924628432553,0.2711326400714203,20.492006546861308
