year,fiscal_year,agency,agency_full,component,ftes
2003,2003/04,Other departments & agencies,Other departments and agencies,Research and development,692.0
2003,2003/04,Other departments & agencies,Other departments and agencies,"Total, science and technology",5585.0
2003,2003/04,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,74.0
2003,2003/04,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,98.0
2003,2003/04,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",172.0
2003,2003/04,Statistics Canada,Statistics Canada,Related scientific activities,5447.0
2003,2003/04,Statistics Canada,Statistics Canada,Research and development,201.0
2003,2003/04,Statistics Canada,Statistics Canada,"Total, science and technology",5648.0
2004,2004/05,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,662.0
2004,2004/05,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,1647.0
2004,2004/05,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2309.0
2004,2004/05,All federal agencies,Total departments and agencies,Related scientific activities,20620.0
2004,2004/05,All federal agencies,Total departments and agencies,Research and development,13719.0
2004,2004/05,All federal agencies,Total departments and agencies,"Total, science and technology",34339.0
2004,2004/05,CFI,Canada Foundation for Innovation,Research and development,46.0
2004,2004/05,CFI,Canada Foundation for Innovation,"Total, science and technology",46.0
2004,2004/05,CIHR,Canadian Institutes of Health Research,Related scientific activities,4.0
2004,2004/05,CIHR,Canadian Institutes of Health Research,Research and development,278.0
2004,2004/05,CIHR,Canadian Institutes of Health Research,"Total, science and technology",282.0
2004,2004/05,Canadian Space Agency,Canadian Space Agency,Related scientific activities,75.0
2004,2004/05,Canadian Space Agency,Canadian Space Agency,Research and development,498.0
2004,2004/05,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",573.0
2004,2004/05,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,228.0
2004,2004/05,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,28.0
2004,2004/05,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",256.0
2004,2004/05,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2332.0
2004,2004/05,Environment & Climate Change,Environment and Climate Change Canada,Research and development,906.0
2004,2004/05,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3238.0
2004,2004/05,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1348.0
2004,2004/05,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,510.0
2004,2004/05,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1857.0
2004,2004/05,Health Canada,Health Canada,Related scientific activities,2074.0
2004,2004/05,Health Canada,Health Canada,Research and development,399.0
2004,2004/05,Health Canada,Health Canada,"Total, science and technology",2472.0
2004,2004/05,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,623.0
2004,2004/05,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,349.0
2004,2004/05,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",972.0
2004,2004/05,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,39.0
2004,2004/05,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,272.0
2004,2004/05,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",311.0
2004,2004/05,National Defence,National Defence,Related scientific activities,526.0
2004,2004/05,National Defence,National Defence,Research and development,1563.0
2004,2004/05,National Defence,National Defence,"Total, science and technology",2089.0
2004,2004/05,National Research Council,National Research Council Canada,Related scientific activities,1178.0
2004,2004/05,National Research Council,National Research Council Canada,Research and development,3000.0
2004,2004/05,National Research Council,National Research Council Canada,"Total, science and technology",4178.0
