year,fiscal_year,agency,agency_full,nominal
2004,2004/05,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,247.0
2004,2004/05,Environment & Climate Change,Environment and Climate Change Canada,209.0
2004,2004/05,Cdn Int'l Development Agency,Canadian International Development Agency,85.0
2004,2004/05,Fisheries & Oceans,Fisheries and Oceans Canada,74.0
2004,2004/05,Health Canada,Health Canada,56.0
2004,2004/05,Statistics Canada,Statistics Canada,21.0
2005,2005/06,CIHR,Canadian Institutes of Health Research,795.0
2005,2005/06,National Research Council,National Research Council Canada,756.0
2005,2005/06,NSERC,Natural Sciences and Engineering Research Council of Canada,755.0
2005,2005/06,Other departments & agencies,Other departments and agencies,663.0
2005,2005/06,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",478.0
2005,2005/06,SSHRC,Social Sciences and Humanities Research Council of Canada,478.0
2005,2005/06,CFI,Canada Foundation for Innovation,437.0
2005,2005/06,National Defence,National Defence,349.0
2005,2005/06,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,327.0
2005,2005/06,Natural Resources Canada,Natural Resources Canada,281.0
2005,2005/06,Canadian Space Agency,Canadian Space Agency,267.0
2005,2005/06,Environment & Climate Change,Environment and Climate Change Canada,253.0
2005,2005/06,Fisheries & Oceans,Fisheries and Oceans Canada,77.0
2005,2005/06,Cdn Int'l Development Agency,Canadian International Development Agency,58.0
2005,2005/06,Health Canada,Health Canada,49.0
2005,2005/06,Statistics Canada,Statistics Canada,19.0
2006,2006/07,CIHR,Canadian Institutes of Health Research,838.0
2006,2006/07,NSERC,Natural Sciences and Engineering Research Council of Canada,788.0
2006,2006/07,National Research Council,National Research Council Canada,700.0
2006,2006/07,SSHRC,Social Sciences and Humanities Research Council of Canada,523.0
2006,2006/07,Other departments & agencies,Other departments and agencies,475.0
2006,2006/07,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",372.0
2006,2006/07,CFI,Canada Foundation for Innovation,367.0
2006,2006/07,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,359.0
2006,2006/07,National Defence,National Defence,343.0
2006,2006/07,Canadian Space Agency,Canadian Space Agency,290.0
2006,2006/07,Atomic Energy of Canada,Atomic Energy of Canada Limited,289.0
2006,2006/07,Natural Resources Canada,Natural Resources Canada,259.0
2006,2006/07,Environment & Climate Change,Environment and Climate Change Canada,214.0
2006,2006/07,Fisheries & Oceans,Fisheries and Oceans Canada,85.0
2006,2006/07,Cdn Int'l Development Agency,Canadian International Development Agency,71.0
2006,2006/07,Statistics Canada,Statistics Canada,51.0
2006,2006/07,Health Canada,Health Canada,49.0
2007,2007/08,CIHR,Canadian Institutes of Health Research,970.0
2007,2007/08,NSERC,Natural Sciences and Engineering Research Council of Canada,891.0
2007,2007/08,National Research Council,National Research Council Canada,772.0
2007,2007/08,Other departments & agencies,Other departments and agencies,563.0
2007,2007/08,SSHRC,Social Sciences and Humanities Research Council of Canada,540.0
2007,2007/08,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",477.0
2007,2007/08,Atomic Energy of Canada,Atomic Energy of Canada Limited,329.0
2007,2007/08,CFI,Canada Foundation for Innovation,310.0
2007,2007/08,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,307.0
2007,2007/08,National Defence,National Defence,307.0
2007,2007/08,Canadian Space Agency,Canadian Space Agency,276.0
2007,2007/08,Natural Resources Canada,Natural Resources Canada,276.0
2007,2007/08,Environment & Climate Change,Environment and Climate Change Canada,240.0
2007,2007/08,Health Canada,Health Canada,80.0
2007,2007/08,Fisheries & Oceans,Fisheries and Oceans Canada,75.0
2007,2007/08,Statistics Canada,Statistics Canada,57.0
2007,2007/08,Cdn Int'l Development Agency,Canadian International Development Agency,51.0
2008,2008/09,CIHR,Canadian Institutes of Health Research,957.0
2008,2008/09,NSERC,Natural Sciences and Engineering Research Council of Canada,896.0
2008,2008/09,National Research Council,National Research Council Canada,719.0
2008,2008/09,Other departments & agencies,Other departments and agencies,591.0
2008,2008/09,SSHRC,Social Sciences and Humanities Research Council of Canada,559.0
2008,2008/09,Atomic Energy of Canada,Atomic Energy of Canada Limited,393.0
2008,2008/09,CFI,Canada Foundation for Innovation,385.0
2008,2008/09,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",384.0
2008,2008/09,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,329.0
2008,2008/09,National Defence,National Defence,326.0
2008,2008/09,Canadian Space Agency,Canadian Space Agency,285.0
2008,2008/09,Natural Resources Canada,Natural Resources Canada,282.0
2008,2008/09,Environment & Climate Change,Environment and Climate Change Canada,270.0
2008,2008/09,Health Canada,Health Canada,73.0
2008,2008/09,Statistics Canada,Statistics Canada,62.0
2008,2008/09,Cdn Int'l Development Agency,Canadian International Development Agency,48.0
2008,2008/09,Fisheries & Oceans,Fisheries and Oceans Canada,12.0
2009,2009/10,National Research Council,National Research Council Canada,967.0
2009,2009/10,CIHR,Canadian Institutes of Health Research,957.0
2009,2009/10,NSERC,Natural Sciences and Engineering Research Council of Canada,911.0
2009,2009/10,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",737.0
2009,2009/10,Other departments & agencies,Other departments and agencies,667.0
2009,2009/10,SSHRC,Social Sciences and Humanities Research Council of Canada,555.0
2009,2009/10,Atomic Energy of Canada,Atomic Energy of Canada Limited,470.0
2009,2009/10,CFI,Canada Foundation for Innovation,392.0
2009,2009/10,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,363.0
2009,2009/10,Natural Resources Canada,Natural Resources Canada,338.0
2009,2009/10,National Defence,National Defence,288.0
2009,2009/10,Environment & Climate Change,Environment and Climate Change Canada,266.0
2009,2009/10,Canadian Space Agency,Canadian Space Agency,208.0
2009,2009/10,Cdn Int'l Development Agency,Canadian International Development Agency,91.0
2009,2009/10,Health Canada,Health Canada,85.0
2009,2009/10,Statistics Canada,Statistics Canada,67.0
2009,2009/10,Fisheries & Oceans,Fisheries and Oceans Canada,13.0
2010,2010/11,CIHR,Canadian Institutes of Health Research,989.0
2010,2010/11,NSERC,Natural Sciences and Engineering Research Council of Canada,938.0
2010,2010/11,National Research Council,National Research Council Canada,925.0
2010,2010/11,Atomic Energy of Canada,Atomic Energy of Canada Limited,640.0
2010,2010/11,Other departments & agencies,Other departments and agencies,628.0
2010,2010/11,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",617.0
2010,2010/11,SSHRC,Social Sciences and Humanities Research Council of Canada,555.0
2010,2010/11,CFI,Canada Foundation for Innovation,473.0
2010,2010/11,Natural Resources Canada,Natural Resources Canada,457.0
2010,2010/11,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,338.0
2010,2010/11,National Defence,National Defence,332.0
2010,2010/11,Environment & Climate Change,Environment and Climate Change Canada,248.0
2010,2010/11,Canadian Space Agency,Canadian Space Agency,235.0
2010,2010/11,Statistics Canada,Statistics Canada,94.0
2010,2010/11,Health Canada,Health Canada,81.0
2010,2010/11,Cdn Int'l Development Agency,Canadian International Development Agency,40.0
2010,2010/11,Fisheries & Oceans,Fisheries and Oceans Canada,11.0
