country_code,year,hours_per_capita,country_name
FIN,2025,721.4218850442478,Finland
FRA,2000,652.9924439469264,France
FRA,2001,649.4143893828451,France
FRA,2002,633.7190542645722,France
FRA,2003,631.1211706122186,France
FRA,2004,637.4316730932304,France
FRA,2005,637.6024553713232,France
FRA,2006,633.7290437580843,France
FRA,2007,648.3289063112505,France
FRA,2008,650.9134760842782,France
FRA,2009,635.4832172064368,France
FRA,2010,636.2893525668746,France
FRA,2011,640.510829298286,France
FRA,2012,637.3584498638353,France
FRA,2013,629.1474483892578,France
FRA,2014,625.6846155011284,France
FRA,2015,624.4595409717406,France
FRA,2016,627.7660712407794,France
FRA,2017,626.0396827771959,France
FRA,2018,632.4819840619647,France
FRA,2019,639.7797198646804,France
FRA,2020,588.3361440089784,France
FRA,2021,635.2427675917479,France
FRA,2022,659.5863442639758,France
FRA,2023,665.1687015885519,France
FRA,2024,672.7846196347564,France
FRA,2025,666.0325081886431,France
GBR,2000,727.162399545189,United Kingdom
GBR,2001,732.529974674674,United Kingdom
GBR,2002,726.4689893522554,United Kingdom
GBR,2003,726.0551994127974,United Kingdom
GBR,2004,730.2074983559299,United Kingdom
GBR,2005,737.4290684687071,United Kingdom
GBR,2006,736.039875579759,United Kingdom
GBR,2007,738.3945291874134,United Kingdom
GBR,2008,730.7792204070264,United Kingdom
GBR,2009,710.0297848447021,United Kingdom
GBR,2010,701.9100348982312,United Kingdom
GBR,2011,703.373844900166,United Kingdom
GBR,2012,713.5912721115035,United Kingdom
GBR,2013,718.2886127858679,United Kingdom
GBR,2014,733.9499910707995,United Kingdom
GBR,2015,733.0749853956244,United Kingdom
GBR,2016,745.7896501749079,United Kingdom
GBR,2017,746.3792654417562,United Kingdom
GBR,2018,751.8534143073604,United Kingdom
GBR,2019,759.4029834055802,United Kingdom
GBR,2020,665.5286710744531,United Kingdom
GBR,2021,728.0716463779598,United Kingdom
GBR,2022,746.3285413860223,United Kingdom
GBR,2023,741.8635773945072,United Kingdom
GBR,2024,746.0465077270825,United Kingdom
GBR,2025,753.4243479784755,United Kingdom
ISR,2000,847.7711152191135,Israel
ISR,2001,810.8026928267099,Israel
ISR,2002,802.9520410439438,Israel
ISR,2003,793.4149851675626,Israel
ISR,2004,788.09378656766,Israel
ISR,2005,798.5424870981959,Israel
ISR,2006,802.7714353420038,Israel
ISR,2007,826.8879719075792,Israel
ISR,2008,838.6258837995697,Israel
ISR,2009,838.3626959329956,Israel
ISR,2010,845.7520196879308,Israel
ISR,2011,853.432366570285,Israel
ISR,2012,861.5481067967174,Israel
ISR,2013,866.7813324578364,Israel
ISR,2014,871.1693413574055,Israel
ISR,2015,874.1740108756798,Israel
ISR,2016,890.073871220141,Israel
ISR,2017,894.9185255497548,Israel
ISR,2018,891.7352363406325,Israel
ISR,2019,881.434271635087,Israel
ISR,2020,794.2517506514674,Israel
ISR,2021,836.0858556553112,Israel
ISR,2022,878.7609143733104,Israel
ISR,2023,882.7589078942021,Israel
ISR,2024,875.833709397595,Israel
ISR,2025,886.2266608909065,Israel
ITA,2000,732.0772328382691,Italy
ITA,2001,741.6567450219201,Italy
ITA,2002,746.5124242859496,Italy
ITA,2003,747.5997400660636,Italy
ITA,2004,745.8657713710611,Italy
ITA,2005,743.7621697637996,Italy
ITA,2006,756.0166370147894,Italy
ITA,2007,763.1179347881585,Italy
ITA,2008,754.3413577161078,Italy
ITA,2009,723.777300165392,Italy
ITA,2010,716.7194421876515,Italy
ITA,2011,714.2580813903123,Italy
ITA,2012,694.8329656162363,Italy
ITA,2013,675.5329654660133,Italy
ITA,2014,674.7102238535031,Italy
ITA,2015,681.1572549045651,Italy
ITA,2016,693.8803829979772,Italy
ITA,2017,702.7616608030025,Italy
ITA,2018,711.1862278129238,Italy
ITA,2019,713.2001654135086,Italy
ITA,2020,632.4305463257227,Italy
ITA,2021,700.7973355069572,Italy
ITA,2022,732.2399883416902,Italy
ITA,2023,755.4704988793609,Italy
ITA,2024,772.2856541937978,Italy
ITA,2025,781.0660726887793,Italy
JPN,2000,941.3028851456754,Japan
JPN,2001,928.8253636620692,Japan
JPN,2002,911.1854321258804,Japan
JPN,2003,910.6861637978292,Japan
JPN,2004,908.0958939485238,Japan
JPN,2005,911.4065102373052,Japan
JPN,2006,921.4654615679316,Japan
JPN,2007,927.3054993634454,Japan
JPN,2008,918.255839917554,Japan
JPN,2009,878.8212634341414,Japan
JPN,2010,887.2258447410137,Japan
JPN,2011,883.424691396655,Japan
JPN,2012,887.5507668916006,Japan
JPN,2013,886.8013562088938,Japan
JPN,2014,889.088959972335,Japan
