year,geo,partner,exports_millions,share_pct
2002,Ontario,Mexico,1026.354,0.568
2002,Ontario,Other countries,4575.766,2.531
2002,Ontario,United Kingdom,1953.522,1.08
2002,Ontario,United States,168615.471,93.26
2002,Prince Edward Island,All countries,682.948,100.0
2002,Prince Edward Island,China,0.09,0.013
2002,Prince Edward Island,European Union (27 members),22.391,3.279
2002,Prince Edward Island,Japan,10.364,1.518
2002,Prince Edward Island,Mexico,0.669,0.098
2002,Prince Edward Island,Other countries,26.906,3.94
2002,Prince Edward Island,United Kingdom,4.0,0.586
2002,Prince Edward Island,United States,618.527,90.567
2002,Quebec,All countries,65501.646,100.0
2002,Quebec,China,690.887,1.055
2002,Quebec,European Union (27 members),4624.88,7.061
2002,Quebec,Japan,692.301,1.057
2002,Quebec,Mexico,326.585,0.499
2002,Quebec,Other countries,3265.697,4.986
2002,Quebec,United Kingdom,1024.962,1.565
2002,Quebec,United States,54876.333,83.779
2002,Saskatchewan,All countries,11164.719,100.0
2002,Saskatchewan,China,485.188,4.346
2002,Saskatchewan,European Union (27 members),634.907,5.687
2002,Saskatchewan,Japan,607.991,5.446
2002,Saskatchewan,Mexico,202.718,1.816
2002,Saskatchewan,Other countries,2254.3,20.191
2002,Saskatchewan,United Kingdom,86.613,0.776
2002,Saskatchewan,United States,6893.002,61.739
2002,Yukon,All countries,4.01,100.0
2002,Yukon,China,0.022,0.546
2002,Yukon,European Union (27 members),0.074,1.84
2002,Yukon,Japan,0.0,0.0
2002,Yukon,Mexico,0.0,0.0
2002,Yukon,Other countries,0.2,4.985
2002,Yukon,United Kingdom,0.0,0.0
2002,Yukon,United States,3.714,92.629
2003,Alberta,All countries,57112.89,100.0
2003,Alberta,China,957.161,1.676
2003,Alberta,European Union (27 members),813.828,1.425
2003,Alberta,Japan,1042.955,1.826
2003,Alberta,Mexico,379.601,0.665
2003,Alberta,Other countries,2513.343,4.401
2003,Alberta,United Kingdom,185.788,0.325
2003,Alberta,United States,51220.214,89.682
2003,British Columbia,All countries,28265.325,100.0
2003,British Columbia,China,919.508,3.253
2003,British Columbia,European Union (27 members),1578.008,5.583
2003,British Columbia,Japan,3660.01,12.949
2003,British Columbia,Mexico,108.586,0.384
2003,British Columbia,Other countries,2900.428,10.261
2003,British Columbia,United Kingdom,305.584,1.081
2003,British Columbia,United States,18793.201,66.489
2003,Canada,All countries,354394.9,100.0
2003,Canada,China,3998.562,1.128
2003,Canada,European Union (27 members),13059.186,3.685
2003,Canada,Japan,8032.359,2.266
2003,Canada,Mexico,2145.061,0.605
2003,Canada,Other countries,17732.332,5.004
2003,Canada,United Kingdom,5773.2,1.629
2003,Canada,United States,303654.199,85.682
2003,Manitoba,All countries,9194.44,100.0
2003,Manitoba,China,157.52,1.713
2003,Manitoba,European Union (27 members),352.056,3.829
2003,Manitoba,Japan,507.976,5.525
2003,Manitoba,Mexico,204.642,2.226
2003,Manitoba,Other countries,914.97,9.951
2003,Manitoba,United Kingdom,70.831,0.77
2003,Manitoba,United States,6986.446,75.986
2003,New Brunswick,All countries,8518.812,100.0
2003,New Brunswick,China,42.707,0.501
2003,New Brunswick,European Union (27 members),237.259,2.785
2003,New Brunswick,Japan,147.344,1.73
2003,New Brunswick,Mexico,10.444,0.123
2003,New Brunswick,Other countries,401.689,4.715
2003,New Brunswick,United Kingdom,100.917,1.185
2003,New Brunswick,United States,7578.452,88.961
2003,Newfoundland and Labrador,All countries,4761.632,100.0
2003,Newfoundland and Labrador,China,262.064,5.504
2003,Newfoundland and Labrador,European Union (27 members),601.366,12.629
2003,Newfoundland and Labrador,Japan,114.094,2.396
2003,Newfoundland and Labrador,Mexico,13.7,0.288
2003,Newfoundland and Labrador,Other countries,447.047,9.389
2003,Newfoundland and Labrador,United Kingdom,120.776,2.536
2003,Newfoundland and Labrador,United States,3202.583,67.258
2003,Northwest Territories,All countries,1586.812,100.0
2003,Northwest Territories,China,0.0,0.0
2003,Northwest Territories,European Union (27 members),471.602,29.72
2003,Northwest Territories,Japan,0.505,0.032
2003,Northwest Territories,Mexico,0.0,0.0
2003,Northwest Territories,Other countries,1.434,0.09
2003,Northwest Territories,United Kingdom,1053.151,66.369
2003,Northwest Territories,United States,60.12,3.789
2003,Nova Scotia,All countries,5351.336,100.0
2003,Nova Scotia,China,64.176,1.199
2003,Nova Scotia,European Union (27 members),333.007,6.223
