country_code,year,real_gdp_growth,country_name
FRA,1964,6.57101843822032,France
FRA,1965,4.86159272050541,France
FRA,1966,5.23491739588495,France
FRA,1967,4.95160977057864,France
FRA,1968,4.41587790210454,France
FRA,1969,7.18706276828271,France
FRA,1970,6.08717862544118,France
FRA,1971,5.32188819447612,France
FRA,1972,4.60071178145085,France
FRA,1973,6.26598097753225,France
FRA,1974,4.30255804665033,France
FRA,1975,-0.995725489016422,France
FRA,1976,4.29831953913161,France
FRA,1977,3.49225300518219,France
FRA,1978,3.99357144244411,France
FRA,1979,3.5215075100036,France
FRA,1980,1.57601768690142,France
FRA,1981,1.18635718663774,France
FRA,1982,2.40366011035849,France
FRA,1983,1.26263279702259,France
FRA,1984,1.67304934392789,France
FRA,1985,1.66983984485537,France
FRA,1986,2.32541751655204,France
FRA,1987,2.56730443382828,France
FRA,1988,4.66991431443432,France
FRA,1989,4.58489018637505,France
FRA,1990,2.7925896372422,France
FRA,1991,1.29183561347307,France
FRA,1992,1.40830233698931,France
FRA,1993,-0.425501459011258,France
FRA,1994,2.40269379630212,France
FRA,1995,2.4573810877023,France
FRA,1996,1.34679706189698,France
FRA,1997,2.51510630479993,France
FRA,1998,3.46595002922582,France
FRA,1999,3.26074635617093,France
FRA,2000,4.36739732884855,France
FRA,2001,1.8415002747803,France
FRA,2002,1.12343591235802,France
FRA,2003,0.99000391174684,France
FRA,2004,2.52438778637212,France
FRA,2005,1.98409531105716,France
FRA,2006,2.9311075585796,France
FRA,2007,2.48379734883009,France
FRA,2008,0.262468330849984,France
FRA,2009,-2.73023259322132,France
FRA,2010,1.83904341551631,France
FRA,2011,2.48293976593659,France
FRA,2012,0.226102955319064,France
FRA,2013,0.930505943471061,France
FRA,2014,0.999546170538181,France
FRA,2015,0.997493798167994,France
FRA,2016,0.731823315864986,France
FRA,2017,2.27230662907499,France
FRA,2018,1.5900634022934,France
FRA,2019,2.09517064391864,France
FRA,2020,-7.60789512182298,France
FRA,2021,6.79900342627784,France
FRA,2022,2.79718016276873,France
FRA,2023,1.62085144151406,France
FRA,2024,1.10462306210302,France
FRA,2025,0.939379134167112,France
FRA,2026,0.651790869970171,France
GBR,1961,2.67260024630505,United Kingdom
GBR,1962,1.07495749803179,United Kingdom
GBR,1963,4.82784214618425,United Kingdom
