year,geo,partner,section,exports_millions,share_of_partner_exports_pct
2025,Nova Scotia,European Union (27 members),"Industrial machinery, equipment and parts",30.574,5.49
2025,Nova Scotia,European Union (27 members),Metal and non-metallic mineral products,6.938,1.246
2025,Nova Scotia,European Union (27 members),Metal ores and non-metallic minerals,2.416,0.434
2025,Nova Scotia,European Union (27 members),Motor vehicles and parts,21.902,3.933
2025,Nova Scotia,European Union (27 members),Special transactions trade,0.222,0.04
2025,Nova Scotia,United Kingdom,Aircraft and other transportation equipment and parts,2.71,2.707
2025,Nova Scotia,United Kingdom,"Basic and industrial chemical, plastic and rubber products",2.56,2.557
2025,Nova Scotia,United Kingdom,Consumer goods,14.007,13.99
2025,Nova Scotia,United Kingdom,Electronic and electrical equipment and parts,15.192,15.174
2025,Nova Scotia,United Kingdom,Energy products,23.657,23.629
2025,Nova Scotia,United Kingdom,"Farm, fishing and intermediate food products",20.954,20.929
2025,Nova Scotia,United Kingdom,Forestry products and building and packaging materials,13.919,13.902
2025,Nova Scotia,United Kingdom,"Industrial machinery, equipment and parts",6.695,6.687
2025,Nova Scotia,United Kingdom,Metal and non-metallic mineral products,0.27,0.27
2025,Nova Scotia,United Kingdom,Metal ores and non-metallic minerals,0.036,0.035
2025,Nova Scotia,United Kingdom,Motor vehicles and parts,0.062,0.062
2025,Nova Scotia,United Kingdom,Special transactions trade,0.057,0.057
2025,Nova Scotia,United States,Aircraft and other transportation equipment and parts,37.339,0.815
2025,Nova Scotia,United States,"Basic and industrial chemical, plastic and rubber products",230.304,5.024
2025,Nova Scotia,United States,Consumer goods,646.797,14.109
2025,Nova Scotia,United States,Electronic and electrical equipment and parts,215.812,4.708
2025,Nova Scotia,United States,Energy products,20.742,0.452
2025,Nova Scotia,United States,"Farm, fishing and intermediate food products",994.426,21.693
2025,Nova Scotia,United States,Forestry products and building and packaging materials,520.436,11.353
2025,Nova Scotia,United States,"Industrial machinery, equipment and parts",99.072,2.161
2025,Nova Scotia,United States,Metal and non-metallic mineral products,96.361,2.102
2025,Nova Scotia,United States,Metal ores and non-metallic minerals,127.514,2.782
2025,Nova Scotia,United States,Motor vehicles and parts,1532.124,33.422
2025,Nova Scotia,United States,Special transactions trade,63.205,1.379
2025,Ontario,China,Aircraft and other transportation equipment and parts,30.25,0.932
2025,Ontario,China,"Basic and industrial chemical, plastic and rubber products",184.294,5.676
2025,Ontario,China,Consumer goods,889.451,27.394
2025,Ontario,China,Electronic and electrical equipment and parts,364.498,11.226
2025,Ontario,China,Energy products,64.108,1.974
2025,Ontario,China,"Farm, fishing and intermediate food products",364.726,11.233
2025,Ontario,China,Forestry products and building and packaging materials,105.952,3.263
2025,Ontario,China,"Industrial machinery, equipment and parts",344.538,10.611
2025,Ontario,China,Metal and non-metallic mineral products,824.799,25.403
2025,Ontario,China,Metal ores and non-metallic minerals,5.726,0.176
2025,Ontario,China,Motor vehicles and parts,66.924,2.061
2025,Ontario,China,Special transactions trade,1.593,0.049
2025,Ontario,European Union (27 members),Aircraft and other transportation equipment and parts,886.635,9.374
2025,Ontario,European Union (27 members),"Basic and industrial chemical, plastic and rubber products",666.575,7.047
2025,Ontario,European Union (27 members),Consumer goods,2698.111,28.525
2025,Ontario,European Union (27 members),Electronic and electrical equipment and parts,947.577,10.018
2025,Ontario,European Union (27 members),Energy products,172.431,1.823
2025,Ontario,European Union (27 members),"Farm, fishing and intermediate food products",1137.224,12.023
2025,Ontario,European Union (27 members),Forestry products and building and packaging materials,101.057,1.068
2025,Ontario,European Union (27 members),"Industrial machinery, equipment and parts",1126.139,11.906
2025,Ontario,European Union (27 members),Metal and non-metallic mineral products,1136.966,12.02
2025,Ontario,European Union (27 members),Metal ores and non-metallic minerals,237.507,2.511
2025,Ontario,European Union (27 members),Motor vehicles and parts,313.911,3.319
2025,Ontario,European Union (27 members),Special transactions trade,34.597,0.366
2025,Ontario,United Kingdom,Aircraft and other transportation equipment and parts,84.931,0.204
2025,Ontario,United Kingdom,"Basic and industrial chemical, plastic and rubber products",137.181,0.329
2025,Ontario,United Kingdom,Consumer goods,457.089,1.096
2025,Ontario,United Kingdom,Electronic and electrical equipment and parts,171.371,0.411
2025,Ontario,United Kingdom,Energy products,89.006,0.213
2025,Ontario,United Kingdom,"Farm, fishing and intermediate food products",227.138,0.545
2025,Ontario,United Kingdom,Forestry products and building and packaging materials,36.239,0.087
2025,Ontario,United Kingdom,"Industrial machinery, equipment and parts",209.134,0.501
2025,Ontario,United Kingdom,Metal and non-metallic mineral products,40244.625,96.503
2025,Ontario,United Kingdom,Metal ores and non-metallic minerals,0.351,0.001
2025,Ontario,United Kingdom,Motor vehicles and parts,38.468,0.092
2025,Ontario,United Kingdom,Special transactions trade,7.434,0.018
2025,Ontario,United States,Aircraft and other transportation equipment and parts,3156.085,1.658
2025,Ontario,United States,"Basic and industrial chemical, plastic and rubber products",12745.366,6.697
2025,Ontario,United States,Consumer goods,34539.974,18.149
2025,Ontario,United States,Electronic and electrical equipment and parts,10305.598,5.415
2025,Ontario,United States,Energy products,2633.823,1.384
2025,Ontario,United States,"Farm, fishing and intermediate food products",6503.225,3.417
2025,Ontario,United States,Forestry products and building and packaging materials,11663.412,6.128
2025,Ontario,United States,"Industrial machinery, equipment and parts",17290.682,9.085
2025,Ontario,United States,Metal and non-metallic mineral products,25006.355,13.139
2025,Ontario,United States,Metal ores and non-metallic minerals,429.67,0.226
2025,Ontario,United States,Motor vehicles and parts,61978.213,32.566
2025,Ontario,United States,Special transactions trade,4065.472,2.136
